,COUNTRY:,CODE:,ECR/EFDD 2014,EPP 2014,ALDE 2014,Greens/EFA 2014,S&D 2014,GUE/NGL 2014,NI/Unknown 2014,2013 GDP (PPP) International Dollars,2014 GDP (PPP) International Dollars,2014: Age 0-14,2014: Age 15-24,2014: Age 25-49,2014: Age 50-64,2014: Age 65-79,2014: Age 80+,2014: Age 15-64 Education Levels 0-2,2014: Age 15-64 Education Levels 3-4,2014: Age 15-64 Education Levels 5-8,2014: Age 20-24 Education Levels 0-2,2014: Age 20-24 Education Levels 3-4,2014: Age 20-24 Education Levels 5-8,2014: Age 25-34 Education Levels 0-2,2014: Age 25-34 Education Levels 3-4,2014: Age 25-34 Education Levels 5-8,2014: Age 25-64 Education Levels 0-2,2014: Age 25-64 Education Levels 3-4,2014: Age 25-64 Education Levels 5-8,2014: Age 30-34 Education Levels 0-2,2014: Age 30-34 Education Levels 3-4,2014: Age 30-34 Education Levels 5-8,2014: Age 35-44 Education Levels 0-2,2014: Age 35-44 Education Levels 3-4,2014: Age 35-44 Education Levels 5-8,2014: Age 45-54 Education Levels 0-2,2014: Age 45-54 Education Levels 3-4,2014: Age 45-54 Education Levels 5-8,2014: Age 45-64 Education Levels 0-2,2014: Age 45-64 Education Levels 3-4,2014: Age 45-64 Education Levels 5-8,2014: Age 55-64 Education Levels 0-2,2014: Age 55-64 Education Levels 3-4,2014: Age 55-64 Education Levels 5-8,2013: Total Immigration,2013: EU27 Immigration,2013: Non-EU27 Immigration,2013: Unknown Immigration,2014: Total Immigration,2014: EU27 Immigration,2014: Non-EU27 Immigration,2014: Unknown Immigration,2013: EU27 Immigration (Percent of Total Population),2013: EU28 Immigration (Percent of Total Population),2013: Non-EU27 Immigration (Percent of Total Population),2013: Non-EU28 Immigration (Percent of Total Population),2013: Foreign country Immigration (Percent of Total Population),2014: EU27 Immigration (Percent of Total Population),2014: EU28 Immigration (Percent of Total Population),2014: Non-EU27 Immigration (Percent of Total Population),2014: Non-EU28 Immigration (Percent of Total Population),2014: Foreign country Immigration (Percent of Total Population),2014: Satisfied with Life,2014: Not Satisfied with Life,2014: Yes Feel Like EU Citizen,2014: No Feel Like EU Citizen,2014: Left Political Views,2014: Center Political Views,2014: Right Political Views,"2014: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,"2014: Personal: The environment, climate and energy issues .1",2014: EU: The environment.1,2014: EU: Energy supply.1,2014: EU: Climate change.1,2014: Positive EU Opinion,2014: Negative EU Opinion,2014: Agree Country Better Off if Left EU,2014: Disagree Country Better Off if Left EU,GDP (PPP) Percent Change 2013-2014,Total Immigration Change 2013-2014,EU27 Immigration Change 2013-2014,Non-EU27 Immigration Change 2013-2014,Unknown Immigration Change 2013-2014
0,Austria,AT,0.172,0.3455,0.0844,0.1512,0.2389,0.0,0.008,56636.7,58679.93,0.14400000000000002,0.109,0.34,0.217,0.138,0.05,0.187,0.502,0.311,0.127,0.584,0.289,0.106,0.478,0.41600000000000004,0.14400000000000002,0.518,0.33799999999999997,0.114,0.462,0.424,0.122,0.493,0.385,0.151,0.5429999999999999,0.305,0.17300000000000001,0.5479999999999999,0.28,0.196,0.552,0.252,105633.0,65630.0,35432.0,4571.0,109167.0,68515.0,35860.0,4792.0,0.021,0.021,0.019,0.019,0.04,0.021,0.021,0.02,0.019,0.04,0.92,0.07,0.8,0.2,0.34,0.32,0.2,0.16,0.17,0.08,0.22,0.16,0.17,0.08,0.22,0.45,0.17,0.38,0.54,0.03607607787883128,0.03345545426145239,0.04395855553862563,0.012079476179724543,-6.703128418289214
1,Belgium,BE,0.2791096523744173,0.1270522954232945,0.19279764271688848,0.1542778934002876,0.16255770624481872,0.08411479411427869,9.001572601470822e-05,52665.78,54488.09,0.16899999999999998,0.114,0.327,0.201,0.133,0.055999999999999994,0.259,0.381,0.36,0.14400000000000002,0.578,0.278,0.14800000000000002,0.379,0.473,0.213,0.38,0.40700000000000003,0.149,0.375,0.475,0.163,0.371,0.466,0.212,0.405,0.38299999999999995,0.26899999999999996,0.385,0.34600000000000003,0.32799999999999996,0.364,0.308,137860.0,74187.0,63218.0,455.0,150006.0,79464.0,69995.0,547.0,0.012,0.012,0.013000000000000001,0.013000000000000001,0.026000000000000002,0.013000000000000001,0.013000000000000001,0.013999999999999999,0.013999999999999999,0.027000000000000003,0.91,0.09,0.81,0.19,0.32,0.39,0.25,0.18,0.16,0.07,0.28,0.18,0.16,0.07,0.28,0.38,0.19,0.37,0.6,0.03460140531479829,0.08810387349484984,0.07113106069796594,0.10720048087569996,-137.73846153846154
2,Bulgaria,BG,0.1456195622862716,0.37132545767237324,0.16553829496221392,0.004887194384050277,0.25331949029085227,0.0,0.05931000040423867,22889.87,24409.41,0.14400000000000002,0.08900000000000001,0.35,0.204,0.165,0.048,0.21899999999999997,0.535,0.247,0.156,0.782,0.063,0.17600000000000002,0.49700000000000005,0.327,0.175,0.5429999999999999,0.281,0.17800000000000002,0.49700000000000005,0.325,0.17600000000000002,0.523,0.301,0.163,0.575,0.262,0.175,0.575,0.25,0.188,0.5760000000000001,0.23600000000000002,29559.0,8614.0,20913.0,32.0,37929.0,10161.0,27755.0,13.0,,,0.001,0.001,0.001,,,,,0.001,0.48,0.49,0.52,0.46,0.24,0.23,0.29,0.05,0.06,0.06,0.1,0.05,0.06,0.06,0.1,0.59,0.11,0.29,0.52,0.06638482437864439,0.2831624885821577,0.17959136289760855,0.32716492134079284,-653.125
3,Cyprus,CY,0.08664993681812519,0.29024151494117856,0.03799099435812554,0.03286169398615338,0.2437254169113852,0.300443163009237,0.008087279975795112,41226.29,43592.17,0.161,0.128,0.371,0.179,0.125,0.037000000000000005,0.215,0.385,0.4,0.077,0.63,0.293,0.1,0.297,0.603,0.175,0.377,0.447,0.11900000000000001,0.293,0.588,0.151,0.37799999999999995,0.47100000000000003,0.172,0.449,0.379,0.24,0.43200000000000005,0.32799999999999996,0.312,0.413,0.275,,,,,,,,,0.02,0.025,0.044000000000000004,0.039,0.064,0.019,0.023,0.052000000000000005,0.048,0.071,0.86,0.14,0.73,0.27,0.17,0.18,0.21,0.07,0.06,0.01,0.14,0.07,0.06,0.01,0.14,0.47,0.14,0.3,0.65,0.057387652393654565,,,,
4,Czechia,CZ,0.267096485733508,0.19262263446609007,0.2357011344439453,0.14694750428659106,0.039507922548207015,0.06999259732617952,0.04813172119547909,41120.36,42963.05,0.159,0.091,0.36700000000000005,0.188,0.155,0.040999999999999995,0.12300000000000001,0.6609999999999999,0.21600000000000003,0.11699999999999999,0.78,0.10400000000000001,0.07,0.604,0.326,0.062,0.695,0.242,0.066,0.583,0.35100000000000003,0.051,0.6809999999999999,0.267,0.047,0.76,0.193,0.065,0.7490000000000001,0.18600000000000003,0.086,0.737,0.177,65910.0,17773.0,48137.0,0.0,105888.0,30138.0,75750.0,0.0,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.002,0.002,0.005,0.86,0.14,0.58,0.41,0.2,0.46,0.25,0.09,0.11,0.03,0.13,0.09,0.11,0.03,0.13,0.29,0.27,0.37,0.54,0.044812107676100166,0.606554392353209,0.6957182242727733,0.5736335874690986,
5,Germany,DE,0.12372510451337275,0.2886347578270481,0.07581638675880231,0.24393645417938378,0.16034059678065735,0.08828065885373512,0.019266041087000575,55076.88,56523.39,0.136,0.10400000000000001,0.316,0.228,0.151,0.065,0.195,0.545,0.26,0.225,0.6859999999999999,0.08800000000000001,0.132,0.535,0.33299999999999996,0.134,0.568,0.299,0.13,0.515,0.355,0.13699999999999998,0.537,0.326,0.131,0.591,0.278,0.133,0.594,0.273,0.134,0.596,0.26899999999999996,893886.0,395075.0,394542.0,104269.0,886341.0,371614.0,407487.0,107240.0,0.013999999999999999,0.013999999999999999,0.023,0.023,0.037000000000000005,0.013000000000000001,0.013000000000000001,0.023,0.023,0.036000000000000004,0.91,0.09,0.88,0.11,0.37,0.45,0.09,0.21,0.15,0.06,0.31,0.21,0.15,0.06,0.31,0.51,0.12,0.16,0.78,0.026263470261932088,-0.008440673642947759,-0.059383661330127194,0.032810195112307435,-2.755392302601924
6,Denmark,DK,0.10764538187037738,0.0618169494228584,0.35769368089297915,0.16595979129022728,0.21481556660281168,0.0920686299207461,0.0,57812.09,59832.96,0.165,0.126,0.317,0.196,0.15,0.045,0.26,0.406,0.33399999999999996,0.242,0.6609999999999999,0.09699999999999999,0.17600000000000002,0.353,0.47100000000000003,0.184,0.41200000000000003,0.40399999999999997,0.17,0.336,0.494,0.153,0.382,0.465,0.16399999999999998,0.46,0.376,0.20199999999999999,0.45399999999999996,0.344,0.245,0.44799999999999995,0.308,64669.0,29683.0,34459.0,527.0,61384.0,28223.0,32652.0,509.0,0.006999999999999999,0.008,0.015,0.015,0.022000000000000002,0.006999999999999999,0.006999999999999999,0.015,0.015,0.022000000000000002,0.98,0.02,0.82,0.18,0.39,0.31,0.26,0.28,0.27,0.03,0.49,0.28,0.27,0.03,0.49,0.54,0.13,0.15,0.8,0.034955837092206885,-0.05079713618580773,-0.04918640299161136,-0.0524391305609565,-64.42125237191651
7,Estonia,EE,0.12726435092621588,0.10294365620408065,0.4474803073735938,0.017536675258352806,0.2951334521716089,0.0006654541950714234,0.008976103871076531,36022.42,38028.51,0.16399999999999998,0.095,0.349,0.19399999999999998,0.141,0.055999999999999994,0.171,0.48200000000000004,0.34700000000000003,0.174,0.6940000000000001,0.132,0.131,0.46299999999999997,0.406,0.11,0.495,0.395,0.138,0.42200000000000004,0.44,0.134,0.449,0.41700000000000004,0.08800000000000001,0.542,0.371,0.087,0.537,0.376,0.085,0.5329999999999999,0.382,17547.0,10104.0,7353.0,90.0,18259.0,9556.0,8066.0,637.0,0.002,0.002,0.004,0.004,0.006,0.002,0.002,0.005,0.005,0.008,0.84,0.16,0.79,0.2,0.16,0.31,0.25,0.07,0.08,0.05,0.13,0.07,0.08,0.05,0.13,0.47,0.09,0.18,0.73,0.055690039703051704,0.04057673676411922,-0.05423594615993666,0.0969672242622059,-74.62222222222222
8,Greece,EL,0.13883813264890643,0.331170012512113,0.015578880147323632,0.026267658088523244,0.09240611804666769,0.34935244467098375,0.04638675388548226,29761.28,30887.69,0.14300000000000002,0.102,0.331,0.203,0.149,0.071,0.259,0.46299999999999997,0.278,0.055,0.841,0.10400000000000001,0.102,0.474,0.424,0.23199999999999998,0.449,0.319,0.11900000000000001,0.45,0.431,0.17600000000000002,0.479,0.345,0.237,0.47100000000000003,0.292,0.313,0.423,0.264,0.401,0.368,0.231,119489.0,37252.0,82237.0,0.0,129459.0,35364.0,94095.0,0.0,0.001,0.001,0.003,0.003,0.004,0.001,0.001,0.004,0.004,0.005,0.5,0.5,0.57,0.43,0.26,0.29,0.24,0.01,0.06,0.03,0.06,0.01,0.06,0.03,0.06,0.33,0.28,0.34,0.6,0.03784817050879532,0.08343864288762982,-0.050681842585632984,0.14419300314943395,
9,Spain,ES,0.06327894628068474,0.20348227524198165,0.15221215588223508,0.0906621001173831,0.3324921102977893,0.10956753310433047,0.048304879075595705,41328.35,42600.44,0.14800000000000002,0.098,0.353,0.207,0.133,0.061,0.396,0.253,0.35100000000000003,0.26,0.504,0.23600000000000002,0.302,0.233,0.465,0.387,0.22699999999999998,0.386,0.327,0.22699999999999998,0.447,0.322,0.23399999999999999,0.444,0.39799999999999996,0.23,0.37200000000000005,0.455,0.221,0.324,0.523,0.21,0.267,643684.0,120704.0,522980.0,0.0,750480.0,120198.0,630282.0,0.0,0.004,0.005,0.013999999999999999,0.013000000000000001,0.018000000000000002,0.005,0.005,0.02,0.019,0.024,0.85,0.15,0.87,0.13,0.41,0.28,0.14,0.09,0.12,0.04,0.21,0.09,0.12,0.04,0.21,0.44,0.13,0.27,0.65,0.030780081953429156,0.16591370921135215,-0.004192073170731708,0.20517419404183718,
