COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Austria,AT,OVP,-,-,EPP,3455
Austria,AT,SPO,-,-,S&D,2389
Austria,AT,FPO,-,-,ID,1720
Austria,AT,GRUNE,-,-,Greens/EFA,1408
Austria,AT,NEOS – The New Austria,-,-,Renew Europe,844
Austria,AT,JETZT,-,-,Greens/EFA*,104
Austria,AT,Other Parties,-,-,Unknown,80
Austria,AT,Austrian People's Party,EPP,"761,896",-,-
Austria,AT,Social Democratic Party of Austria,S&D,"680,180",-,-
Austria,AT,Freedom Party of Austria,NI - Right-Wing,"556,835",-,-
Austria,AT,The Greens – The Green Alternative,Greens/EFA,"410,089",-,-
Austria,AT,NEOS – The New Austria,ALDE,"229,781",-,-
Austria,AT,EU-STOP,Unknown,"77,897",-,-
Austria,AT,Europe Different,Unknown,"60,451",-,-
Austria,AT,The Reform Conservatives,Right-Wing ?,"33,224",-,-
Austria,AT,Alliance for the Future of Austria,Right-Wing*,"13,208",-,-
