COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Croatia,HR,HDZ–HSS–HSP AS–BUZ–ZDS–HDS,EPP & ECR,381844,-,-
Croatia,HR,SDP–HNS–IDS–HSU,S&D & ALDE,275904,-,-
Croatia,HR,Sustainable Development of Croatia,Greens/EFA,86806,-,-
Croatia,HR,Alliance for Croatia,Right*,63437,-,-
Croatia,HR,Croatian Labourists – Labour Party,Center-Left ?,31363,-,-
Croatia,HR,NF–HSLS–PGS–RI,Liberal*,22098,-,-
Croatia,HR,Youth Action,Unknown,7807,-,-
Croatia,HR,Pensioners' Party,Unknown,6950,-,-
Croatia,HR,DSŽ–HSN–ASBU,Unknown,4822,-,-
Croatia,HR,Alliance for Change,ECR*,4313,-,-
Croatia,HR,Alphabet of Democracy,Unknown,3684,-,-
Croatia,HR,ZELENIHR–AMD–ZS,Unknown,3640,-,-
Croatia,HR,Pirate Party,Greens/EFA*,3623,-,-
Croatia,HR,Authentic Croatian Party of Rights,Right-Wing ?,3455,-,-
Croatia,HR,Croatian Workers Party,Left-Wing ?,3214,-,-
Croatia,HR,Democratic Prigorje–Zagreb Party,Unknown,2745,-,-
Croatia,HR,Independent List – Anto Đapić,Right-Wing ?,2633,-,-
Croatia,HR,Power of Roma in Croatia,Unknown,2513,-,-
Croatia,HR,Movement for a Modern Croatia,Unknown,2330,-,-
Croatia,HR,Međimurje Democratic Alliance,Unknown,1783,-,-
Croatia,HR,Socialist Labour Party of Croatia,Left-Wing ?,1769,-,-
Croatia,HR,Our Party–New Serb Party,Unknown,1600,-,-
Croatia,HR,Croatian Party of Order,Unknown,1435,-,-
Croatia,HR,Socialist Party of Croatia,Left-Wing ?,1248,-,-
Croatia,HR,Croatian Community Party,Unknown,888,-,-
Croatia,HR,Croatian Democratic Union,-,-,EPP,244076
Croatia,HR,Social Democratic Party,-,-,S&D,200976
Croatia,HR,HRAST–HKS–HSP AS–UHD,-,-,ECR,91546
Croatia,HR,Independent Candidate – Mislav Kolakušić,-,-,NI,84765
Croatia,HR,Human Shield,-,-,NI,60847
Croatia,HR,HSS–GLAS–IDS–HSU–PGS–DEMOKRATI–LABURISTI,-,-,Renew Europe,55829
Croatia,HR,Bridge of Independent Lists,-,-,Right-Wing*,50257
Croatia,HR,Independent Candidate – Marijana Petir,-,-,Unknown,47358
Croatia,HR,NHR–HSP,-,-,ID*,46970
Croatia,HR,Independent Democratic Serb Party,-,-,S&D*,28597
Croatia,HR,Croatian People's Party – Liberal Democrats,-,-,Renew Europe*,27958
Croatia,HR,"Party of Anti-corruption, Development and Transparency",-,-,Unknown,21744
Croatia,HR,Bandić Milan 365 – Labour and Solidarity Party,-,-,Center-Left*,21175
Croatia,HR,We can!–NL–ORaH,-,-,Greens/EFA*,19313
Croatia,HR,Pametno–UK,-,-,Renew Europe*,15074
Croatia,HR,People's Party – Reformists,-,-,Renew Europe*,9971
Croatia,HR,Green List,-,-,Greens/EFA*,5972
Croatia,HR,Croatian Social Liberal Party,-,-,Renew Europe*,5876
Croatia,HR,Croatian Democratic Party,-,-,Unknown,5610
Croatia,HR,Authentic Croatian Party of Rights,-,-,Right-Wing ?,4391
Croatia,HR,Let's Unblock Croatia,-,-,Unknown,3981
Croatia,HR,Party of People's and Civic Action,-,-,Unknown,3683
Croatia,HR,Croatian Demochristian Party,-,-,Center-Right*,3651
Croatia,HR,RF–SRP,-,-,Left-Wing ?,2622
Croatia,HR,Movement for a Modern Croatia,-,-,Unknown,2581
Croatia,HR,Democratic Alliance of Serbs,-,-,Unknown,2036
Croatia,HR,Croatian Defence People's Party,-,-,Unknown,1588
Croatia,HR,My Beloved Croatia,-,-,Unknown,1168
Croatia,HR,Zagorje Party for Zagreb,-,-,Unknown,1128
Croatia,HR,Free Croatia,-,-,Unknown,1021
Croatia,HR,Croatian Community Party,-,-,Unknown,944
Croatia,HR,Croatian Party of Order,-,-,Unknown,733
Croatia,HR,Freedom Party of Croatia,-,-,Unknown,513
