COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Czechia,CZ,Strana zelených,Greens/EFA*,"57,240",-,-
Czechia,CZ,Úsvit přímé demokr.T.Okamury,Right-Wing*,"47,306",-,-
Czechia,CZ,Str.zdr.rozumu-NECHCEME EURO,Right-Wing*,"24,724",-,-
Czechia,CZ,Komunistická str.Českosloven.,Far-Left ?,"8,549",-,-
Czechia,CZ,SNK Evropští demokraté,EPP*,"7,961",-,-
Czechia,CZ,Liberálně ekologická strana,Green  ?,"7,514",-,-
Czechia,CZ,NE Bruselu-Národní demokracie,Right-Wing*,"7,109",-,-
Czechia,CZ,LEV 21-Národní socialisté,Left-Wing ?,"7,099",-,-
Czechia,CZ,Věci veřejné,Unknown,"6,988",-,-
Czechia,CZ,VIZE 2014,ALDE*,"3,698",-,-
Czechia,CZ,Občanská konzervativní strana,Right-Wing*,"3,481",-,-
Czechia,CZ,Koalice SP a NO!,S&D ?,"2,899",-,-
Czechia,CZ,Česká strana regionů,Unknown,"2,535",-,-
Czechia,CZ,Koruna Česká (monarch.strana),Right-Wing ?,"2,434",-,-
Czechia,CZ,Republika,Unknown,"2,240",-,-
Czechia,CZ,HNUTÍ SOCIÁLNĚ SLABÝCH,Unknown,"1,685",-,-
Czechia,CZ,Aktiv nezávislých občanů,Unknown,"1,242",-,-
Czechia,CZ,Romská demokratická strana,Unknown,"1,185",-,-
Czechia,CZ,"REPUBL.STR.ČECH,MORAVY A SLEZ.",Unknown,"1,100",-,-
Czechia,CZ,Fair play - HNPD,Unknown,900,-,-
Czechia,CZ,ANTIBURSÍK - STOP EKOTERORU!,Unknown,761,-,-
Czechia,CZ,"""Strana rovných příležitostí""",Unknown,640,-,-
Czechia,CZ,evropani.cz,Unknown,631,-,-
Czechia,CZ,Česká strana národně sociální,Unknown,502,-,-
Czechia,CZ,ANO 2011,ALDE,"244,501",Renew Europe,"502,343"
Czechia,CZ,Občanská demokratická strana,ECR,"116,389",ECR,"344,885"
Czechia,CZ,Česká pirátská strana,Greens/EFA*,"72,514",Greens/EFA,"330,844"
Czechia,CZ,"Koalice STAN, TOP 09",EPP,"241,747",EPP,"276,220"
Czechia,CZ,Svob.a př.dem.-T.Okamura (SPD),-,-,ID,"216,718"
Czechia,CZ,Křesť.demokr.unie-Čs.str.lid.,EPP,"150,792",EPP,"171,723"
Czechia,CZ,Komunistická str.Čech a Moravy,GUE/NGL,"166,478",GUE/NGL,"164,624"
Czechia,CZ,Česká str.sociálně demokrat.,S&D,"214,800",S&D*,"93,664"
Czechia,CZ,HLAS,-,-,ALDE*,"56,449"
Czechia,CZ,"ANO, vytrollíme europarlament",-,-,Unknown,"37,046"
Czechia,CZ,Vědci pro Českou republiku,-,-,Unknown,"19,492"
Czechia,CZ,"Koalice Rozumní, ND",-,-,Right-Wing*,"18,715"
Czechia,CZ,"Koalice Svobodní, RČ",EFDD,"79,540",Right-Wing*,"15,492"
Czechia,CZ,Demokratická strana zelených,-,-,Green ?,"14,339"
Czechia,CZ,Evropa společně,-,-,Unknown,"12,587"
Czechia,CZ,Alternativa pro Česk. rep.2017,-,-,Right-Wing*,"11,729"
Czechia,CZ,Strana nezávislosti ČR,-,-,Right-Wing ?,"9,676"
Czechia,CZ,"Koalice Soukromníci, NEZ",-,-,Center-Right*,"8,720"
Czechia,CZ,CESTA ODPOVĚDNÉ SPOLEČNOSTI,-,-,Unknown,"7,890"
Czechia,CZ,PRO Zdraví a Sport,-,-,Unknown,"7,868"
Czechia,CZ,Moravané,Unknown,"6,614",Unknown,"6,599"
Czechia,CZ,Volte Pr.Blok www.cibulka.net,Right-Wing ?,"8,028",Right-Wing ?,"4,752"
Czechia,CZ,Koalice DSSS a NF,Far-Right ?,"7,902",Far-Right ?,"4,363"
Czechia,CZ,SPR-Republ.str.Čsl. M.Sládka,-,-,Right-Wing*,"4,284"
Czechia,CZ,Agrární demokratická strana,-,-,Unknown,"4,004"
Czechia,CZ,Moravské zemské hnutí,-,-,Greens/EFA*,"3,195"
Czechia,CZ,Pro Česko,-,-,Unknown,"2,760"
Czechia,CZ,Česká Suverenita,Right-Wing*,"2,086",Right-Wing*,"2,609"
Czechia,CZ,"BEZPEČNOST,ODPOVĚDNOST,SOLID.",-,-,Unknown,"2,583"
Czechia,CZ,Klub angažovaných nestraníků,Unknown,"2,379",Unknown,"2,580"
Czechia,CZ,NE-VOLIM.CZ,-,-,Unknown,"2,221"
Czechia,CZ,ALIANCE NÁRODNÍCH SIL,Unknown,"1,299",Unknown,"1,971"
Czechia,CZ,TVŮJ KANDIDÁT,-,-,Unknown,"1,653"
Czechia,CZ,Romská demokratická strana,-,-,Unknown,"1,651"
Czechia,CZ,Národní socialisté,-,-,Left-Wing ?,"1,312"
Czechia,CZ,"Koalice ČSNS, Patrioti ČR",-,-,Unknown,"1,289"
Czechia,CZ,PRVNÍ REPUBLIKA,-,-,Unknown,844
Czechia,CZ,JSI PRO?Jist.Solid.In.pro bud.,-,-,Unknown,836
Czechia,CZ,KONZERVATIVNÍ ALTERNATIVA,-,-,Unknown,235
