COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Estonia,EE,INDREK TARAND,Greens/EFA,43369,-,-
Estonia,EE,TANEL TALVE,Center-Left*,10073,-,-
Estonia,EE,SILVER MEIKAR,Liberal*,6018,-,-
Estonia,EE,Eesti Iseseisvuspartei,Far-Right ?,4158,-,-
Estonia,EE,KRISTIINA OJULAND,Liberal*,3024,-,-
Estonia,EE,KRISTA MULENOK,Unknown,1266,-,-
Estonia,EE,RENE KUULMANN,Unknown,632,-,-
Estonia,EE,JEVGENI KRIŠTAFOVITŠ,Unknown,594,-,-
Estonia,EE,IMRE MÜRK,Unknown,330,-,-
Estonia,EE,OLGA SÕTNIK,Unknown,328,-,-
Estonia,EE,SVETLANA IVNITSKAJA,Unknown,167,-,-
Estonia,EE,TAIRA AASA,Unknown,126,-,-
Estonia,EE,ROMAN UBAKIVI,Unknown,96,-,-
Estonia,EE,DMITRI SILBER,Unknown,86,-,-
Estonia,EE,ANDRES INN,Unknown,72,-,-
Estonia,EE,LANCE GARETH EDWARD BOXALL,Unknown,64,-,-
Estonia,EE,JOERI WIERSMA,Unknown,48,-,-
Estonia,EE,Eesti Reformierakond,ALDE,79849,Renew Europe,87160
Estonia,EE,Sotsiaaldemokraatlik Erakond,S&D,44550,S&D,77375
Estonia,EE,Eesti Keskerakond,ALDE,73419,Renew Europe,47799
Estonia,EE,Eesti Konservatiivne Rahvaerakond,Right-Wing*,13247,ID,42265
Estonia,EE,Erakond Isamaa ja Res Publica Liit,EPP,45765,EPP*,34188
Estonia,EE,RAIMOND KALJULAID,-,-,Center-Left*,20640
Estonia,EE,Erakond Eesti 200,-,-,Renew Europe*,10700
Estonia,EE,Erakond Eestimaa Rohelised,Greens/EFA*,986,Greens/EFA*,5824
Estonia,EE,Elurikkuse Erakond,-,-,Renew Europe*,2951
Estonia,EE,ERIK ORGU,-,-,Unknown,1442
Estonia,EE,HARRY RAUDVERE,-,-,Unknown,880
Estonia,EE,MARIA KALJUSTE,-,-,Unknown,604
Estonia,EE,Eestimaa Ühendatud Vasakpartei,GUE/NGL*,226,GUE/NGL*,221
Estonia,EE,ARGO MÕTTUS,-,-,Unknown,55
