COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Italy,IT,PARTITO DEMOCRATICO,S&D,"11,203,231",-,-
Italy,IT,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,EFDD,"5,807,362",-,-
Italy,IT,FORZA ITALIA,EPP,"4,614,364",-,-
Italy,IT,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,NI - Far-Right,"1,688,197",-,-
Italy,IT,NUOVO CENTRO DESTRA - UDC,EPP,"1,202,350",-,-
Italy,IT,L'ALTRA EUROPA CON TSIPRAS,GUE/NGL,"1,108,457",-,-
Italy,IT,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,ECR*,"1,006,513",-,-
Italy,IT,VERDI EUROPEI-GREEN ITALIA,Greens/EFA*,"250,102",-,-
Italy,IT,SCELTA EUROPEA,ALDE*,"197,942",-,-
Italy,IT,ITALIA DEI VALORI,ALDE*,"181,373",-,-
Italy,IT,SVP,EPP,"138,037",-,-
Italy,IT,IO CAMBIO - MAIE,Unknown,"50,978",-,-
Italy,IT,LEGA SALVINI PREMIER,-,-,ID,"9,175,208"
Italy,IT,PARTITO DEMOCRATICO,-,-,S&D,"6,089,853"
Italy,IT,MOVIMENTO 5 STELLE,-,-,NI,"4,569,089"
Italy,IT,FORZA ITALIA,-,-,EPP,"2,351,673"
Italy,IT,FRATELLI D'ITALIA,-,-,ECR,"1,726,189"
Italy,IT,*+EUROPA - ITALIA IN COMUNE - PDE ITALIA,-,-,RE*,"833,443"
Italy,IT,EUROPA VERDE,-,-,Greens/EFA*,"621,492"
Italy,IT,LA SINISTRA,-,-,Left-Wing ?,"469,943"
Italy,IT,PARTITO COMUNISTA,-,-,Far-Left ?,"235,542"
Italy,IT,PARTITO ANIMALISTA,-,-,Greens/EFA ?,"160,270"
Italy,IT,SVP,-,-,EPP,"142,185"
Italy,IT,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,-,-,EPP*,"114,531"
Italy,IT,CASAPOUND ITALIA - DESTRE UNITE,-,-,Far-Right*,"89,142"
Italy,IT,POPOLARI PER L'ITALIA,-,-,EPP*,"80,553"
Italy,IT,PARTITO PIRATA,-,-,Greens/EFA*,"60,809"
Italy,IT,FORZA NUOVA,-,-,Far-Right ?,"41,077"
Italy,IT,AUTONOMIE PER L'EUROPA,-,-,EFA ?,"17,692"
Italy,IT,PPA MOVIMENTO POLITICO PENSIERO AZIONE,-,-,Unknown,"5,041"
