COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Latvia,LV,Unity,EPP,"204,979",-,-
Latvia,LV,National Alliance,ECR,"63,229",-,-
Latvia,LV,"Social Democratic Party ""Harmony""",S&D,"57,863",-,-
Latvia,LV,Union of Greens and Farmers,EFDD,"36,637",-,-
Latvia,LV,Latvian Russian Union,Greens/EFA,"28,303",-,-
Latvia,LV,Alternative,Unknown,"16,566",-,-
Latvia,LV,Latvian Association of Regions,EPP*,"11,035",-,-
Latvia,LV,For Latvia's Development,ALDE*,"9,421",-,-
Latvia,LV,Socialist Party of Latvia,Far-Left*,"6,817",-,-
Latvia,LV,Latvian Social Democratic Workers' Party,Center-Left ?,"1,462",-,-
Latvia,LV,Christian Democratic Union,ECR*,"1,453",-,-
Latvia,LV,Latvian Rebirth Party,Unknown,"1,252",-,-
Latvia,LV,For a Presidential Republic,Unknown,672,-,-
Latvia,LV,Sovereignty,Unknown,599,-,-
Latvia,LV,New Unity,-,-,EPP,"124,193"
Latvia,LV,"Social Democratic Party ""Harmony""",-,-,S&D,"82,604"
Latvia,LV,National Alliance,-,-,ECR,"77,591"
Latvia,LV,Development/For!,-,-,Renew Europe,"58,763"
Latvia,LV,Latvian Russian Union,-,-,Greens/EFA,"29,546"
Latvia,LV,Union of Greens and Farmers,-,-,Center ?,"25,252"
Latvia,LV,Latvian Association of Regions,-,-,EPP*,"23,581"
Latvia,LV,New Conservative Party,-,-,EPP*,"20,595"
Latvia,LV,The Progressives,-,-,Greens/EFA*,"13,705"
Latvia,LV,Who Owns the State?,-,-,EPP*,"4,362"
Latvia,LV,Latvian Nationalists,-,-,Right-Wing ?,"3,172"
Latvia,LV,Centre Party,-,-,Center ?,"2,312"
Latvia,LV,Awakening,-,-,Right-Wing*,"2,242"
Latvia,LV,Latvian Social Democratic Workers' Party,-,-,Center-Left ?,922
Latvia,LV,New Harmony,-,-,Left-Wing ?,829
Latvia,LV,Action Party,-,-,Right-Wing*,791
