COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Netherlands,NL,Democrats 66,ALDE,"735,825",-,-
Netherlands,NL,Christian Democratic Appeal,EPP,"721,766",-,-
Netherlands,NL,Party for Freedom,NI,"633,114",-,-
Netherlands,NL,People's Party for Freedom and Democracy,ALDE,"571,176",-,-
Netherlands,NL,Socialist Party,GUE/NGL,"458,079",-,-
Netherlands,NL,Labour Party,S&D,"446,763",-,-
Netherlands,NL,Christian Union – Reformed Political Party,ECR,"364,843",-,-
Netherlands,NL,GroenLinks,Greens/EFA,"331,594",-,-
Netherlands,NL,Party for the Animals,GUE/NGL,"200,254",-,-
Netherlands,NL,50PLUS,EPP*,"175,343",-,-
Netherlands,NL,Pirate Party,Greens/EFA*,"40,216",-,-
Netherlands,NL,Article 50,Right-Wing ?,"24,069",-,-
Netherlands,NL,Anti EU(ro) Party,Unknown,"12,290",-,-
Netherlands,NL,The Greens,Greens/EFA*,"10,883",-,-
Netherlands,NL,Jesus Lives,Right-Wing*,"9,507",-,-
Netherlands,NL,ichooseforhonest.eu,Unknown,"6,796",-,-
Netherlands,NL,Liberal Democratic Party,Liberal ?,"6,349",-,-
Netherlands,NL,Focus and Simplicity,Unknown,"3,174",-,-
Netherlands,NL,"IQ, the Rights–Obligations-Party",Unknown,"1,705",-,-
Netherlands,NL,Labour Party,-,-,S&D,"1,045,274"
Netherlands,NL,People's Party for Freedom and Democracy,-,-,Renew Europe,"805,100"
Netherlands,NL,Christian Democratic Appeal,-,-,EPP,"669,555"
Netherlands,NL,Forum for Democracy,-,-,ECR,"602,507"
Netherlands,NL,GroenLinks,-,-,Greens/EFA,"599,283"
Netherlands,NL,Democrats 66,-,-,Renew Europe,"389,692"
Netherlands,NL,Christian Union – Reformed Political Party,-,-,EPP & ECR,"375,660"
Netherlands,NL,Party for the Animals,-,-,GUE/NGL,"220,938"
Netherlands,NL,50PLUS,-,-,EPP,"215,199"
Netherlands,NL,Party for Freedom,-,-,ID*,"194,178"
Netherlands,NL,Socialist Party,-,-,GUE/NGL*,"185,224"
Netherlands,NL,Volt Netherlands,-,-,Greens/EFA*,"106,004"
Netherlands,NL,DENK,-,-,Left-Wing*,"60,669"
Netherlands,NL,Of the Region & Pirate Party,-,-,Greens/EFA*,"10,692"
Netherlands,NL,The Greens,-,-,Green ?,"9,546"
Netherlands,NL,Jesus Lives,-,-,Right-Wing*,"8,292"
