COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Slovenia,SI,Democratic Party + People's Party,-,-,EPP,"126,534"
Slovenia,SI,Social Democrats,-,-,S&D,"89,936"
Slovenia,SI,List of Marjan Šarec,-,-,Renew Europe,"74,431"
Slovenia,SI,New Slovenia,-,-,EPP,"53,621"
Slovenia,SI,The Left,-,-,GUE/NGL*,"30,983"
Slovenia,SI,Democratic Party of Pensioners of Slovenia,-,-,RE*,"27,329"
Slovenia,SI,Alliance of Alenka Bratusek,-,-,RE*,"19,369"
Slovenia,SI,Slovenian National Party,-,-,ID*,"19,347"
Slovenia,SI,Greens of Slovenia,-,-,Green ?,"10,706"
Slovenia,SI,Patriotic League,-,-,Right-Wing ?,"8,184"
Slovenia,SI,Let's Connect,-,-,Unknown,"7,980"
Slovenia,SI,Modern Centre Party,-,-,Center ?,"7,823"
Slovenia,SI,United Slovenia Movement,-,-,Unknown,"3,288"
Slovenia,SI,Good State,-,-,Unknown,"2,544"
Slovenia,SI,Slovenian Democratic Party,EPP,"99,643",-,-
Slovenia,SI,New Slovenia + Slovenian People's Party,EPP,"66,760",-,-
Slovenia,SI,Verjamem,Greens/EFA,"41,525",-,-
Slovenia,SI,Democratic Party of Pensioners of Slovenia,ALDE,"32,662",-,-
Slovenia,SI,Social Democrats,S&D,"32,484",-,-
Slovenia,SI,Positive Slovenia,S&D*,"26,649",-,-
Slovenia,SI,United Left,GUE/NGL*,"21,985",-,-
Slovenia,SI,Kacin – Concretely,Unknown,"19,762",-,-
Slovenia,SI,Slovenian National Party,ID*,"16,210",-,-
Slovenia,SI,Dream Job,Unknown,"14,228",-,-
Slovenia,SI,Pirate Party,Greens/EFA*,"10,273",-,-
Slovenia,SI,Solidarity,Unknown,"6,715",-,-
Slovenia,SI,Civic List,ALDE*,"4,600",-,-
Slovenia,SI,Zares,ALDE*,"3,808",-,-
Slovenia,SI,Greens of Slovenia,Green ?,"3,335",-,-
Slovenia,SI,Slovenian Nation,Unknown,"1,432",-,-
