,COUNTRY:,CODE:,ECR/EFDD 2014,EPP 2014,ALDE 2014,Greens/EFA 2014,S&D 2014,GUE/NGL 2014,NI/Unknown 2014,ECR/ID 2019,EPP 2019,RE 2019,Greens/EFA 2019,S&D 2019,GUE/NGL 2019,NI/Unknown 2019,Total,2013 GDP (PPP) International Dollars,2014 GDP (PPP) International Dollars,2018 GDP (PPP) International Dollars,2019 GDP (PPP) International Dollars,2014: Age 0-14,2014: Age 15-24,2014: Age 25-49,2014: Age 50-64,2014: Age 65-79,2014: Age 80+,2019: Age 0-14,2019: Age 15-24,2019: Age 25-49,2019: Age 50-64,2019: Age 65-79,2019: Age 80+,2014: Age 15-64 Education Levels 0-2,2014: Age 15-64 Education Levels 3-4,2014: Age 15-64 Education Levels 5-8,2014: Age 20-24 Education Levels 0-2,2014: Age 20-24 Education Levels 3-4,2014: Age 20-24 Education Levels 5-8,2014: Age 25-34 Education Levels 0-2,2014: Age 25-34 Education Levels 3-4,2014: Age 25-34 Education Levels 5-8,2014: Age 25-64 Education Levels 0-2,2014: Age 25-64 Education Levels 3-4,2014: Age 25-64 Education Levels 5-8,2014: Age 30-34 Education Levels 0-2,2014: Age 30-34 Education Levels 3-4,2014: Age 30-34 Education Levels 5-8,2014: Age 35-44 Education Levels 0-2,2014: Age 35-44 Education Levels 3-4,2014: Age 35-44 Education Levels 5-8,2014: Age 45-54 Education Levels 0-2,2014: Age 45-54 Education Levels 3-4,2014: Age 45-54 Education Levels 5-8,2014: Age 45-64 Education Levels 0-2,2014: Age 45-64 Education Levels 3-4,2014: Age 45-64 Education Levels 5-8,2014: Age 55-64 Education Levels 0-2,2014: Age 55-64 Education Levels 3-4,2014: Age 55-64 Education Levels 5-8,2019: Age 15-64 Education Levels 0-2,2019: Age 15-64 Education Levels 3-4,2019: Age 15-64 Education Levels 5-8,2019: Age 20-24 Education Levels 0-2,2019: Age 20-24 Education Levels 3-4,2019: Age 20-24 Education Levels 5-8,2019: Age 25-34 Education Levels 0-2,2019: Age 25-34 Education Levels 3-4,2019: Age 25-34 Education Levels 5-8,2019: Age 25-64 Education Levels 0-2,2019: Age 25-64 Education Levels 3-4,2019: Age 25-64 Education Levels 5-8,2019: Age 30-34 Education Levels 0-2,2019: Age 30-34 Education Levels 3-4,2019: Age 30-34 Education Levels 5-8,2019: Age 35-44 Education Levels 0-2,2019: Age 35-44 Education Levels 3-4,2019: Age 35-44 Education Levels 5-8,2019: Age 45-54 Education Levels 0-2,2019: Age 45-54 Education Levels 3-4,2019: Age 45-54 Education Levels 5-8,2019: Age 45-64 Education Levels 0-2,2019: Age 45-64 Education Levels 3-4,2019: Age 45-64 Education Levels 5-8,2019: Age 55-64 Education Levels 0-2,2019: Age 55-64 Education Levels 3-4,2019: Age 55-64 Education Levels 5-8,2013: Total Immigration,2013: EU27 Immigration,2013: Non-EU27 Immigration,2013: Unknown Immigration,2014: Total Immigration,2014: EU27 Immigration,2014: Non-EU27 Immigration,2014: Unknown Immigration,2018: Total Immigration,2018: EU27 Immigration,2018: Non-EU27 Immigration,2018: Unknown Immigration,2019: Total Immigration,2019: EU27 Immigration,2019: Non-EU27 Immigration,2019: Unknown Immigration,2013: EU27 Immigration (Percent of Total Population),2013: EU28 Immigration (Percent of Total Population),2013: Non-EU27 Immigration (Percent of Total Population),2013: Non-EU28 Immigration (Percent of Total Population),2013: Foreign country Immigration (Percent of Total Population),2014: EU27 Immigration (Percent of Total Population),2014: EU28 Immigration (Percent of Total Population),2014: Non-EU27 Immigration (Percent of Total Population),2014: Non-EU28 Immigration (Percent of Total Population),2014: Foreign country Immigration (Percent of Total Population),2018: EU27 Immigration (Percent of Total Population),2018: EU28 Immigration (Percent of Total Population),2018: Non-EU27 Immigration (Percent of Total Population),2018: Non-EU28 Immigration (Percent of Total Population),2018: Foreign country Immigration (Percent of Total Population),2019: EU27 Immigration (Percent of Total Population),2019: EU28 Immigration (Percent of Total Population),2019: Non-EU27 Immigration (Percent of Total Population),2019: Non-EU28 Immigration (Percent of Total Population),2019: Foreign country Immigration (Percent of Total Population),2014: Satisfied with Life,2014: Not Satisfied with Life,2019: Satisfied with Life,2019: Not satisfied with Life,2014: Yes Feel Like EU Citizen,2014: No Feel Like EU Citizen,2019: Yes Feel Like EU Citizen,2019: No Feel Like EU Citizen,2014: Left Political Views,2014: Center Political Views,2014: Right Political Views,2019: Left Political Views,2019: Center Political Views,2019: Right Political Views,"2014: Personal: The environment, climate and energy issues ","2019: Personal: The environment, climate and energy issues ",2014: EU: The environment,2014: EU: Energy supply,2014: EU: Climate change,2019: EU: The environment,2019: EU: Energy supply,2019: EU: Climate change,"2014: Personal: The environment, climate and energy issues .1","2019: Personal: The environment, climate and energy issues .1",2014: EU: The environment.1,2014: EU: Energy supply.1,2014: EU: Climate change.1,2019: EU: The environment.1,2019: EU: Energy supply.1,2019: EU: Climate change.1,2014: Positive EU Opinion,2014: Negative EU Opinion,2019: Positive EU Opinion,2019: Negative EU Opinion,2014: Agree Country Better Off if Left EU,2014: Disagree Country Better Off if Left EU,2019: Agree Country Better Off if Left EU,2019: Disagree Country Better Off if Left EU,GDP (PPP) Percent Change 2013-2014,GDP (PPP) Percent Change 2018-2019,Total Immigration Change 2018-2019,EU27 Immigration Change 2018-2019,Non-EU27 Immigration Change 2018-2019,Unknown Immigration Change 2018-2019,Total Immigration Change 2013-2014,EU27 Immigration Change 2013-2014,Non-EU27 Immigration Change 2013-2014,Unknown Immigration Change 2013-2014
0,Austria,AT,0.21365467223835433,0.2698351478859497,0.08137986039614516,0.14523822931397623,0.24089438832736393,0.0,0.048997701838210686,0.172,0.3455,0.0844,0.1512,0.2389,0.0,0.008,2.0,47936.68,48813.54,56636.7,58679.93,0.14300000000000002,0.11900000000000001,0.355,0.2,0.133,0.05,0.14400000000000002,0.109,0.34,0.217,0.138,0.05,0.203,0.524,0.27399999999999997,0.10400000000000001,0.627,0.26899999999999996,0.1,0.516,0.384,0.161,0.54,0.299,0.096,0.505,0.4,0.139,0.529,0.332,0.166,0.568,0.265,0.201,0.556,0.243,0.248,0.5379999999999999,0.213,0.187,0.502,0.311,0.127,0.584,0.289,0.106,0.478,0.41600000000000004,0.14400000000000002,0.518,0.33799999999999997,0.114,0.462,0.424,0.122,0.493,0.385,0.151,0.5429999999999999,0.305,0.17300000000000001,0.5479999999999999,0.28,0.196,0.552,0.252,101866.0,61893.0,35619.0,4354.0,116262.0,68354.0,43201.0,4707.0,105633.0,65630.0,35432.0,4571.0,109167.0,68515.0,35860.0,4792.0,1.7,0.017,0.012,0.012,0.028999999999999998,0.018000000000000002,0.019,0.013000000000000001,0.013000000000000001,0.032,0.021,0.021,0.019,0.019,0.04,0.021,0.021,0.02,0.019,0.04,0.92,0.08,0.92,0.07,0.77,0.22,0.8,0.2,0.3,0.39,0.17,0.34,0.32,0.2,0.12,0.16,0.09,0.04,0.08,0.17,0.08,0.22,0.12,0.16,0.09,0.04,0.08,0.17,0.08,0.22,0.31,0.34,0.45,0.17,0.3,0.61,0.38,0.54,0.01829204692523555,0.03607607787883128,0.03345545426145239,0.04395855553862563,0.012079476179724543,-6.703128418289214,0.14132291441697917,0.104389834068473,0.2128639209410708,-7.09967845659164
1,Belgium,BE,0.23808127417250574,0.16961500803128396,0.24050777264180145,0.11045403096920492,0.1911825215586206,0.0351304965944576,0.015028896032125734,0.2791096523744173,0.1270522954232945,0.19279764271688848,0.1542778934002876,0.16255770624481872,0.08411479411427869,9.001572601470822e-05,1.9999999999999998,43755.16,45043.18,52665.78,54488.09,0.17,0.11900000000000001,0.336,0.19699999999999998,0.125,0.053,0.16899999999999998,0.114,0.327,0.201,0.133,0.055999999999999994,0.295,0.37799999999999995,0.326,0.156,0.584,0.259,0.177,0.38,0.442,0.264,0.36700000000000005,0.369,0.183,0.379,0.43799999999999994,0.196,0.382,0.42200000000000004,0.276,0.379,0.345,0.34,0.353,0.307,0.413,0.32299999999999995,0.263,0.259,0.381,0.36,0.14400000000000002,0.578,0.278,0.14800000000000002,0.379,0.473,0.213,0.38,0.40700000000000003,0.149,0.375,0.475,0.163,0.371,0.466,0.212,0.405,0.38299999999999995,0.26899999999999996,0.385,0.34600000000000003,0.32799999999999996,0.364,0.308,120078.0,73249.0,46381.0,448.0,123158.0,74729.0,47820.0,609.0,137860.0,74187.0,63218.0,455.0,150006.0,79464.0,69995.0,547.0,1.5,0.015,0.019,0.019,0.034,0.019,0.019,0.021,0.02,0.039,0.012,0.012,0.013000000000000001,0.013000000000000001,0.026000000000000002,0.013000000000000001,0.013000000000000001,0.013999999999999999,0.013999999999999999,0.027000000000000003,0.93,0.07,0.91,0.09,0.71,0.29,0.81,0.19,0.23,0.42,0.26,0.32,0.39,0.25,0.12,0.18,0.06,0.05,0.07,0.16,0.07,0.28,0.12,0.18,0.06,0.05,0.07,0.16,0.07,0.28,0.4,0.23,0.38,0.19,0.24,0.7,0.37,0.6,0.029436985260709748,0.03460140531479829,0.08810387349484984,0.07113106069796594,0.10720048087569996,-137.73846153846154,0.02564999417045587,0.02020505399391118,0.03102563549729415,-102.16964285714286
2,Bulgaria,BG,0.17826009297008613,0.3685625360024649,0.17268903247701425,0.011500247830921262,0.22956645217756302,0.006354742054897899,0.03306689648705251,0.1456195622862716,0.37132545767237324,0.16553829496221392,0.004887194384050277,0.25331949029085227,0.0,0.05931000040423867,2.0,16691.7,17670.06,22889.87,24409.41,0.13699999999999998,0.10400000000000001,0.35200000000000004,0.21100000000000002,0.151,0.044000000000000004,0.14400000000000002,0.08900000000000001,0.35,0.204,0.165,0.048,0.226,0.5379999999999999,0.23600000000000002,0.142,0.773,0.086,0.18,0.507,0.313,0.18899999999999997,0.541,0.27,0.179,0.512,0.309,0.16,0.545,0.295,0.174,0.584,0.243,0.209,0.555,0.23600000000000002,0.243,0.528,0.22899999999999998,0.21899999999999997,0.535,0.247,0.156,0.782,0.063,0.17600000000000002,0.49700000000000005,0.327,0.175,0.5429999999999999,0.281,0.17800000000000002,0.49700000000000005,0.325,0.17600000000000002,0.523,0.301,0.163,0.575,0.262,0.175,0.575,0.25,0.188,0.5760000000000001,0.23600000000000002,18570.0,3568.0,14856.0,146.0,26615.0,4410.0,22159.0,46.0,29559.0,8614.0,20913.0,32.0,37929.0,10161.0,27755.0,13.0,,,,,,,,,,0.001,,,0.001,0.001,0.001,,,,,0.001,0.44,0.56,0.48,0.49,0.46,0.53,0.52,0.46,0.23,0.32,0.19,0.24,0.23,0.29,0.03,0.05,0.07,0.09,0.05,0.06,0.06,0.1,0.03,0.05,0.07,0.09,0.05,0.06,0.06,0.1,0.54,0.13,0.59,0.11,0.28,0.53,0.29,0.52,0.058613562429231325,0.06638482437864439,0.2831624885821577,0.17959136289760855,0.32716492134079284,-653.125,0.4332256327409801,0.23598654708520178,0.4915858912224017,-101.43835616438356
3,Cyprus,CY,0.0268699259213484,0.37746896652942674,0.06777926261229597,0.0,0.18515028156067265,0.2796990506500228,0.06303251272623342,0.08664993681812519,0.29024151494117856,0.03799099435812554,0.03286169398615338,0.2437254169113852,0.300443163009237,0.008087279975795112,2.0,30236.86,29887.57,41226.29,43592.17,0.163,0.14300000000000002,0.375,0.18100000000000002,0.10800000000000001,0.031,0.161,0.128,0.371,0.179,0.125,0.037000000000000005,0.261,0.375,0.364,0.076,0.568,0.35700000000000004,0.13699999999999998,0.32299999999999995,0.54,0.22399999999999998,0.373,0.40299999999999997,0.152,0.324,0.525,0.172,0.387,0.441,0.23,0.456,0.314,0.314,0.39799999999999996,0.28800000000000003,0.41600000000000004,0.32899999999999996,0.256,0.215,0.385,0.4,0.077,0.63,0.293,0.1,0.297,0.603,0.175,0.377,0.447,0.11900000000000001,0.293,0.588,0.151,0.37799999999999995,0.47100000000000003,0.172,0.449,0.379,0.24,0.43200000000000005,0.32799999999999996,0.312,0.413,0.275,,,,,,,,,,,,,,,,,3.3,0.038,0.049,0.044000000000000004,0.08199999999999999,0.022000000000000002,0.026000000000000002,0.039,0.035,0.061,0.02,0.025,0.044000000000000004,0.039,0.064,0.019,0.023,0.052000000000000005,0.048,0.071,0.82,0.18,0.86,0.14,0.53,0.47,0.73,0.27,0.17,0.27,0.19,0.17,0.18,0.21,0.01,0.07,0.01,0.01,0.02,0.06,0.01,0.14,0.01,0.07,0.01,0.01,0.02,0.06,0.01,0.14,0.26,0.38,0.47,0.14,0.51,0.41,0.3,0.65,-0.011551794730008369,0.057387652393654565,,,,,,,,
4,Czechia,CZ,0.19729500386673107,0.2642706131078224,0.1637745365861384,0.09057652564315746,0.1436490591834203,0.12017615401466983,0.020258107598060567,0.267096485733508,0.19262263446609007,0.2357011344439453,0.14694750428659106,0.039507922548207015,0.06999259732617952,0.04813172119547909,2.0,30812.68,32542.45,41120.36,42963.05,0.15,0.107,0.371,0.198,0.134,0.039,0.159,0.091,0.36700000000000005,0.188,0.155,0.040999999999999995,0.124,0.685,0.191,0.09300000000000001,0.799,0.107,0.054000000000000006,0.647,0.299,0.068,0.7170000000000001,0.215,0.049,0.669,0.282,0.040999999999999995,0.747,0.212,0.059000000000000004,0.746,0.196,0.092,0.735,0.17300000000000001,0.124,0.7240000000000001,0.151,0.12300000000000001,0.6609999999999999,0.21600000000000003,0.11699999999999999,0.78,0.10400000000000001,0.07,0.604,0.326,0.062,0.695,0.242,0.066,0.583,0.35100000000000003,0.051,0.6809999999999999,0.267,0.047,0.76,0.193,0.065,0.7490000000000001,0.18600000000000003,0.086,0.737,0.177,30124.0,15695.0,14429.0,0.0,29897.0,16260.0,13637.0,0.0,65910.0,17773.0,48137.0,0.0,105888.0,30138.0,75750.0,0.0,0.2,0.002,0.001,0.001,0.003,0.002,0.002,0.001,0.001,0.003,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.002,0.002,0.005,0.79,0.21,0.86,0.14,0.57,0.43,0.58,0.41,0.28,0.34,0.25,0.2,0.46,0.25,0.06,0.09,0.07,0.08,0.04,0.11,0.03,0.13,0.06,0.09,0.07,0.08,0.04,0.11,0.03,0.13,0.29,0.28,0.29,0.27,0.38,0.52,0.37,0.54,0.05613825217410496,0.044812107676100166,0.606554392353209,0.6957182242727733,0.5736335874690986,,-0.00753551985128137,0.03599872570882447,-0.05488945872894865,
5,Germany,DE,0.09612758154530737,0.35360478515959004,0.04822471685661894,0.12985822016841236,0.27264871116738454,0.09443101047000638,0.005104974632680422,0.12372510451337275,0.2886347578270481,0.07581638675880231,0.24393645417938378,0.16034059678065735,0.08828065885373512,0.019266041087000575,2.0,44993.67,47011.14,55076.88,56523.39,0.132,0.10800000000000001,0.335,0.217,0.155,0.054000000000000006,0.136,0.10400000000000001,0.316,0.228,0.151,0.065,0.19699999999999998,0.5710000000000001,0.23199999999999998,0.22899999999999998,0.7120000000000001,0.059000000000000004,0.127,0.589,0.284,0.131,0.598,0.271,0.125,0.56,0.314,0.13,0.585,0.285,0.126,0.613,0.262,0.133,0.608,0.259,0.142,0.603,0.255,0.195,0.545,0.26,0.225,0.6859999999999999,0.08800000000000001,0.132,0.535,0.33299999999999996,0.134,0.568,0.299,0.13,0.515,0.355,0.13699999999999998,0.537,0.326,0.131,0.591,0.278,0.133,0.594,0.273,0.134,0.596,0.26899999999999996,692713.0,393915.0,295027.0,3771.0,884893.0,457361.0,417011.0,10521.0,893886.0,395075.0,394542.0,104269.0,886341.0,371614.0,407487.0,107240.0,,,,,0.015,,,,,0.019,0.013999999999999999,0.013999999999999999,0.023,0.023,0.037000000000000005,0.013000000000000001,0.013000000000000001,0.023,0.023,0.036000000000000004,0.91,0.09,0.91,0.09,0.79,0.2,0.88,0.11,0.3,0.44,0.13,0.37,0.45,0.09,0.09,0.21,0.04,0.09,0.06,0.15,0.06,0.31,0.09,0.21,0.04,0.09,0.06,0.15,0.06,0.31,0.36,0.2,0.51,0.12,0.22,0.69,0.16,0.78,0.04483897401567823,0.026263470261932088,-0.008440673642947759,-0.059383661330127194,0.032810195112307435,-2.755392302601924,0.2774309129466316,0.16106520442227384,0.4134672419812424,-75.4457703526916
6,Denmark,DK,0.26612667314975136,0.09147562210819724,0.2610227812784678,0.10950307770829106,0.19117413231642022,0.08069771343887233,0.0,0.10764538187037738,0.0618169494228584,0.35769368089297915,0.16595979129022728,0.21481556660281168,0.0920686299207461,0.0,2.0,46829.47,48039.69,57812.09,59832.96,0.172,0.129,0.325,0.191,0.141,0.042,0.165,0.126,0.317,0.196,0.15,0.045,0.287,0.419,0.294,0.264,0.654,0.08199999999999999,0.193,0.391,0.41600000000000004,0.21100000000000002,0.433,0.35700000000000004,0.17800000000000002,0.386,0.436,0.168,0.429,0.40299999999999997,0.196,0.47600000000000003,0.32799999999999996,0.239,0.45299999999999996,0.308,0.289,0.426,0.285,0.26,0.406,0.33399999999999996,0.242,0.6609999999999999,0.09699999999999999,0.17600000000000002,0.353,0.47100000000000003,0.184,0.41200000000000003,0.40399999999999997,0.17,0.336,0.494,0.153,0.382,0.465,0.16399999999999998,0.46,0.376,0.20199999999999999,0.45399999999999996,0.344,0.245,0.44799999999999995,0.308,60312.0,27226.0,32684.0,402.0,68388.0,29313.0,38608.0,467.0,64669.0,29683.0,34459.0,527.0,61384.0,28223.0,32652.0,509.0,0.8,0.008,0.013000000000000001,0.012,0.02,0.008,0.009000000000000001,0.013000000000000001,0.012,0.021,0.006999999999999999,0.008,0.015,0.015,0.022000000000000002,0.006999999999999999,0.006999999999999999,0.015,0.015,0.022000000000000002,0.98,0.02,0.98,0.02,0.73,0.26,0.82,0.18,0.33,0.28,0.34,0.39,0.31,0.26,0.11,0.28,0.11,0.05,0.15,0.27,0.03,0.49,0.11,0.28,0.11,0.05,0.15,0.27,0.03,0.49,0.35,0.26,0.54,0.13,0.21,0.73,0.15,0.8,0.025843128269442323,0.034955837092206885,-0.05079713618580773,-0.04918640299161136,-0.0524391305609565,-64.42125237191651,0.13390370075606844,0.07665466833174171,0.18125076490025702,-80.14179104477611
7,Estonia,EE,0.05298438627307127,0.1393180372184491,0.49410489721242157,0.13502570831037497,0.16628360421683264,0.0006879903072516004,0.01159537646159888,0.12726435092621588,0.10294365620408065,0.4474803073735938,0.017536675258352806,0.2951334521716089,0.0006654541950714234,0.008976103871076531,2.0,27464.52,28927.86,36022.42,38028.51,0.158,0.11199999999999999,0.34700000000000003,0.2,0.135,0.049,0.16399999999999998,0.095,0.349,0.19399999999999998,0.141,0.055999999999999994,0.177,0.49700000000000005,0.326,0.17,0.69,0.141,0.129,0.465,0.406,0.11800000000000001,0.506,0.376,0.127,0.441,0.43200000000000005,0.134,0.479,0.387,0.077,0.5720000000000001,0.35100000000000003,0.10400000000000001,0.5429999999999999,0.354,0.131,0.512,0.35700000000000004,0.171,0.48200000000000004,0.34700000000000003,0.174,0.6940000000000001,0.132,0.131,0.46299999999999997,0.406,0.11,0.495,0.395,0.138,0.42200000000000004,0.44,0.134,0.449,0.41700000000000004,0.08800000000000001,0.542,0.371,0.087,0.537,0.376,0.085,0.5329999999999999,0.382,4109.0,1668.0,2441.0,0.0,3904.0,1829.0,2075.0,0.0,17547.0,10104.0,7353.0,90.0,18259.0,9556.0,8066.0,637.0,,,0.003,0.003,0.003,,,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.006,0.002,0.002,0.005,0.005,0.008,0.78,0.21,0.84,0.16,0.76,0.22,0.79,0.2,0.15,0.36,0.23,0.16,0.31,0.25,0.04,0.07,0.04,0.11,0.01,0.08,0.05,0.13,0.04,0.07,0.04,0.11,0.01,0.08,0.05,0.13,0.44,0.1,0.47,0.09,0.21,0.7,0.18,0.73,0.053281105950513614,0.055690039703051704,0.04057673676411922,-0.05423594615993666,0.0969672242622059,-74.62222222222222,-0.04989048430275006,0.09652278177458033,-0.14993854977468252,
8,Greece,EL,0.17688184975992763,0.22724832203023626,0.020851174382018146,0.023478892964204766,0.1462872978148123,0.35226894402277126,0.05298351902602962,0.13883813264890643,0.331170012512113,0.015578880147323632,0.026267658088523244,0.09240611804666769,0.34935244467098375,0.04638675388548226,1.9999999999999998,25895.9,26541.28,29761.28,30887.69,0.146,0.10400000000000001,0.355,0.19,0.145,0.06,0.14300000000000002,0.102,0.331,0.203,0.149,0.071,0.331,0.42200000000000004,0.24600000000000002,0.11599999999999999,0.773,0.11199999999999999,0.177,0.436,0.387,0.316,0.40299999999999997,0.281,0.19899999999999998,0.429,0.37200000000000005,0.249,0.48,0.271,0.353,0.391,0.256,0.42200000000000004,0.34299999999999997,0.235,0.502,0.287,0.21100000000000002,0.259,0.46299999999999997,0.278,0.055,0.841,0.10400000000000001,0.102,0.474,0.424,0.23199999999999998,0.449,0.319,0.11900000000000001,0.45,0.431,0.17600000000000002,0.479,0.345,0.237,0.47100000000000003,0.292,0.313,0.423,0.264,0.401,0.368,0.231,57946.0,31779.0,26167.0,0.0,59013.0,35547.0,23466.0,0.0,119489.0,37252.0,82237.0,0.0,129459.0,35364.0,94095.0,0.0,0.2,0.003,0.006,0.006,0.009000000000000001,0.002,0.002,0.005,0.005,0.006999999999999999,0.001,0.001,0.003,0.003,0.004,0.001,0.001,0.004,0.004,0.005,0.43,0.57,0.5,0.5,0.49,0.51,0.57,0.43,0.25,0.31,0.2,0.26,0.29,0.24,0.02,0.01,0.04,0.03,0.03,0.06,0.03,0.06,0.02,0.01,0.04,0.03,0.03,0.06,0.03,0.06,0.22,0.44,0.33,0.28,0.41,0.54,0.34,0.6,0.024922091914163915,0.03784817050879532,0.08343864288762982,-0.050681842585632984,0.14419300314943395,,0.018413695509612398,0.11856886623241764,-0.10322161501127375,
9,Spain,ES,0.019705813056642214,0.28768718092367257,0.13702902833483893,0.09588423143917618,0.2380233607806017,0.19695287639411724,0.02471750907095118,0.06327894628068474,0.20348227524198165,0.15221215588223508,0.0906621001173831,0.3324921102977893,0.10956753310433047,0.048304879075595705,2.0,32452.66,33544.36,41328.35,42600.44,0.152,0.09699999999999999,0.382,0.187,0.124,0.057,0.14800000000000002,0.098,0.353,0.207,0.133,0.061,0.445,0.239,0.317,0.342,0.449,0.209,0.344,0.24100000000000002,0.415,0.434,0.21899999999999997,0.34700000000000003,0.33299999999999996,0.244,0.423,0.34600000000000003,0.22699999999999998,0.428,0.47,0.22699999999999998,0.302,0.5329999999999999,0.204,0.263,0.614,0.174,0.212,0.396,0.253,0.35100000000000003,0.26,0.504,0.23600000000000002,0.302,0.233,0.465,0.387,0.22699999999999998,0.386,0.327,0.22699999999999998,0.447,0.322,0.23399999999999999,0.444,0.39799999999999996,0.23,0.37200000000000005,0.455,0.221,0.324,0.523,0.21,0.267,280772.0,85466.0,195306.0,0.0,305454.0,94959.0,210495.0,0.0,643684.0,120704.0,522980.0,0.0,750480.0,120198.0,630282.0,0.0,0.3,0.004,0.011000000000000001,0.011000000000000001,0.013999999999999999,0.003,0.004,0.009000000000000001,0.009000000000000001,0.012,0.004,0.005,0.013999999999999999,0.013000000000000001,0.018000000000000002,0.005,0.005,0.02,0.019,0.024,0.74,0.26,0.85,0.15,0.71,0.28,0.87,0.13,0.4,0.3,0.1,0.41,0.28,0.14,0.02,0.09,0.02,0.03,0.02,0.12,0.04,0.21,0.02,0.09,0.02,0.03,0.02,0.12,0.04,0.21,0.25,0.29,0.44,0.13,0.23,0.6,0.27,0.65,0.03363976943646532,0.030780081953429156,0.16591370921135215,-0.004192073170731708,0.20517419404183718,,0.08790762611656433,0.11107340930896496,0.07777026819452551,
