COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Belgium,BE,DEBOUT LES BELGES,Unknown,"72,671",-,-
Belgium,BE,VEGA,Unknown,"15,208",-,-
Belgium,BE,Stand Up USE,Unknown,"7,970",-,-
Belgium,BE,MG,Unknown,"4,705",-,-
Belgium,BE,LA DROITE,Right ?,"38,813",-,-
Belgium,BE,PTB-GO!,GUE/NGL*,"133,811",-,-
Belgium,BE,PVDA+,GUE/NGL*,"101,237",-,-
Belgium,BE,FDF,Center*,"82,540",-,-
Belgium,BE,N-VA,ECR,"1,123,355",ECR,"954,048"
Belgium,BE,VLAAMS BELANG,NI - Right-Wing,"284,856",ID,"811,169"
Belgium,BE,Open Vld,ALDE,"859,099",Renew Europe,"678,051"
Belgium,BE,PS-SP,S&D,"720,480",S&D,"655,812"
Belgium,BE,CD&V,EPP,"840,783",EPP,"617,651"
Belgium,BE,GROEN,Greens/EFA,"447,391",Greens/EFA,"525,908"
Belgium,BE,ECOLO,Greens/EFA,"291,625",Greens/EFA,"492,330"
Belgium,BE,MR-PFF,ALDE,"667,529",Renew Europe,"475,338"
Belgium,BE,sp.a,S&D,"555,348",S&D,"434,002"
Belgium,BE,PTB,-,-,GUE/NGL,"355,883"
Belgium,BE,CDH-CSP,EPP,"288,956",EPP,"232,325"
Belgium,BE,PVDA,-,-,GUE/NGL,"210,391"
Belgium,BE,DéFI,-,-,Center*,"144,555"
Belgium,BE,PARTI POPULAIRE,Right-Wing*,"145,909",Far Right*,"113,793"
Belgium,BE,Volt,-,-,Greens/EFA*,"20,385"
Belgium,BE,ProDG,Center-Right*,"5,106",Center-Right*,"5,360"
Belgium,BE,VIVANT,Center-Left*,"3,319",Center-Left*,"4,550"
Belgium,BE,DierAnimal,-,-,Unknown,606
