COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Bulgaria,BG,ПП Глас Народен,Unknown,"22,440",Unknown,"6,136"
Bulgaria,BG,СИНЬО ЕДИНСТВО,Unknown,"10,786",-,-
Bulgaria,BG,БКП,Unknown,"9,318",-,-
Bulgaria,BG,Инициативен комитет - Виктор Тенчев Папазов,Unknown,"7,652",-,-
Bulgaria,BG,Инициативен комитет - Румяна Вълчева Угърчинска-Винсенти,Unknown,"7,373",-,-
Bulgaria,BG,ПП БАСТА,Unknown,"7,330",-,-
Bulgaria,BG,Инициативен комитет - Евгения Златева Банева,Unknown,"6,188",-,-
Bulgaria,BG,Християндемократическа партия на България,Unknown,"2,964",-,-
Bulgaria,BG,БСП ЗА БЪЛГАРИЯ,S&D,"424,037",S&D,"474,160"
Bulgaria,BG,ПАТРИОТИ ЗА ВАЛЕРИ СИМЕОНОВ (НФСБ И СРЕДНА ЕВРОПЕЙСКА КЛАСА),Right-Wing*,"68,376",Right-Wing*,"22,421"
Bulgaria,BG,"Коалиция КОД - Антония Първанова, Илиана Раева - ОБ, НДСВ, СДП",Right-Wing*,"20,487",,-
Bulgaria,BG,БЪЛГАРСКА НАЦИОНАЛНО-ПАТРИОТИЧНА ПАРТИЯ,Right-Wing ?,"3,000",-,-
Bulgaria,BG,Коалиция НАЦИОНАЛИСТИЧЕСКИ ПАРТИИ НА БЪЛГАРИЯ (НПБ),Right-Wing ?,"2,499",-,-
Bulgaria,BG,БЪЛГАРСКАТА ЛЕВИЦА,GUE/NGL*,"11,014",-,-
Bulgaria,BG,ЗЕЛЕНИТЕ,Greens/EFA*,"12,547",-,-
Bulgaria,BG,партия на ЗЕЛЕНИТЕ,Green ?,"5,218",Green ?,"6,051"
Bulgaria,BG,ПП ЗЕЛЕНА ПАРТИЯ,Green ?,"7,989",-,-
Bulgaria,BG,АТАКА,Far-Right*,"66,210",Far-Right*,"20,906"
Bulgaria,BG,СЪЮЗ НА КОМУНИСТИТЕ В БЪЛГАРИЯ,Far-Left ?,"3,217",-,-
Bulgaria,BG,ПП ГЕРБ,EPP,"680,838",EPP,"607,194"
Bulgaria,BG,РЕФОРМАТОРСКИ БЛОК,EPP,"144,532",-,-
Bulgaria,BG,ПП „ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ“,ECR,"238,629",ECR,"3,907"
Bulgaria,BG,КП Коалиция за България,Center-Left*,"90,061",Center-Left*,"16,759"
Bulgaria,BG,Движение за права и свободи - ДПС,ALDE,"386,725",Renew Europe,"323,510"
Bulgaria,BG,ИК за Десислава Петрова Иванчева,-,-,Unknown,"30,310"
Bulgaria,BG,ИК за Минчо Христов Куминев,-,-,Unknown,"22,992"
Bulgaria,BG,ПЪТ НА МЛАДИТЕ (НДСВ и НОВОТО ВРЕМЕ),-,-,Unknown,"21,315"
Bulgaria,BG,ИК за Ваня Руменова Григорова,-,-,Unknown,"9,320"
Bulgaria,BG,ПП ДОСТ,-,-,Unknown,"7,130"
Bulgaria,BG,ИК за Николай Нанков Ненчев,-,-,Unknown,"4,222"
Bulgaria,BG,Движение ЗАЕДНО,-,-,Unknown,"3,731"
Bulgaria,BG,ИК за Христо Симеонов Симеонов,-,-,Unknown,"3,548"
Bulgaria,BG,ИК за Венислава Пламенова Атанасова,-,-,Unknown,"2,925"
Bulgaria,BG,ПРЯКА ДЕМОКРАЦИЯ,-,-,Unknown,"2,425"
Bulgaria,BG,ВЪЗХОД,-,-,Unknown,"1,855"
Bulgaria,BG,ПП „Възраждане“,-,-,Right-Wing*,"20,319"
Bulgaria,BG,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,-,-,Right-Wing ?,"2,370"
Bulgaria,BG,ВОЛЯ – Българските Родолюбци,-,-,ID,"70,830"
Bulgaria,BG,ПП ВОЛТ,-,-,Greens/EFA*,"3,500"
Bulgaria,BG,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),-,-,EPP,"118,484"
Bulgaria,BG,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,-,-,ECR,"143,830"
Bulgaria,BG,Движение 21,-,-,Center-Left*,"4,141"
