COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Denmark,DK,"Venstre, Danmarks Liberale Parti",ALDE,"379,840",Renew Europe,"648,203"
Denmark,DK,Socialdemokratiet,S&D,"435,245",S&D,"592,645"
Denmark,DK,SF - Socialistisk Folkeparti,Greens/EFA,"249,305",Greens/EFA,"364,895"
Denmark,DK,Dansk Folkeparti,ECR,"605,889",ID,"296,978"
Denmark,DK,Radikale Venstre,ALDE,"148,949",Renew Europe,"277,929"
Denmark,DK,Det Konservative Folkeparti,EPP,"208,262",EPP,"170,544"
Denmark,DK,Enhedslisten - De Rød-Grønne,-,-,GUE/NGL,"151,903"
Denmark,DK,Folkebevægelsen mod EU,GUE/NGL,"183,724",GUE/NGL*,"102,101"
Denmark,DK,Alternativet,-,-,Greens/EFA*,"92,964"
Denmark,DK,Liberal Alliance,ALDE*,"65,480",Renew Europe*,"60,693"
