COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Finland,FI,National Coalition Party,-,-,EPP,380460
Finland,FI,Green League,-,-,Greens/EFA,292892
Finland,FI,Social Democratic Party,-,-,S&D,267603
Finland,FI,Finns Party,-,-,ID,253176
Finland,FI,Centre Party,-,-,Renew Europe,247477
Finland,FI,Left Alliance,-,-,GUE/NGL,126063
Finland,FI,Swedish People's Party,-,-,Renew Europe,115962
Finland,FI,Christian Democrats,-,-,EPP*,89204
Finland,FI,Seven Star Movement,-,-,Unknown,16065
Finland,FI,Pirate Party,-,-,Greens/EFA ?,12579
Finland,FI,Blue Reform,-,-,Right-Wing ?,6043
Finland,FI,Feminist Party,-,-,Left ?,4442
Finland,FI,Independents,-,-,Unknown,4077
Finland,FI,Communist Party of Finland,-,-,Far-Left ?,3532
Finland,FI,Liberal Party – Freedom to Choose,-,-,Liberal ?,3015
Finland,FI,Animal Justice Party,-,-,Left ?,2917
Finland,FI,Finnish People First,-,-,Far-Right ?,2495
Finland,FI,Citizens' Party,-,-,Unknown,2043
Finland,FI,National Coalition Party,EPP,"390,376",-,-
Finland,FI,Centre Party,ALDE,"339,895",-,-
Finland,FI,Finns Party,ECR,"222,457",-,-
Finland,FI,Social Democratic Party,S&D,"212,781",-,-
Finland,FI,Green League,Greens/EFA,"161,263",-,-
Finland,FI,Left Alliance,GUE/NGL,"161,074",-,-
Finland,FI,Swedish People's Party,ALDE,"116,747",-,-
Finland,FI,Christian Democrats,EPP*,"90,586",-,-
Finland,FI,Pirate Party,Greens/EFA ?,"12,378",-,-
Finland,FI,Communist Party,Far-Left ?,"5,932",-,-
Finland,FI,Independence Party,Unknown,"5,668",-,-
Finland,FI,Change 2011,Unknown,"4,768",-,-
Finland,FI,For the Poor,Unknown,"2,667",-,-
Finland,FI,Blue and White Front,Far-Right ?,"1,176",-,-
Finland,FI,Independents,Unknown,526,-,-
