COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
France,FR,"PRENEZ LE POUVOIR, LISTE SOUTENUE PAR MARINE LE PEN",-,-,ID,"5,286,939"
France,FR,"RENAISSANCE SOUTENUE PAR LA RÉPUBLIQUE EN MARCHE, LE MODEM ET SES PARTENAIRES",-,-,Renew Europe,"5,079,015"
France,FR,EUROPE ÉCOLOGIE,-,-,Greens/EFA,"3,055,023"
France,FR,UNION DE LA DROITE ET DU CENTRE,-,-,EPP,"1,920,407"
France,FR,LA FRANCE INSOUMISE,-,-,GUE/NGL,"1,428,548"
France,FR,ENVIE D'EUROPE ÉCOLOGIQUE ET SOCIALE,-,-,S&D,"1,403,170"
France,FR,LE COURAGE DE DÉFENDRE LES FRANÇAIS AVEC NICOLAS DUPONT-AIGNAN. DEBOUT LA FRANCE ! - CNIP,-,-,ECR*,"795,508"
France,FR,LISTE CITOYENNE DU PRINTEMPS EUROPÉEN AVEC BENOÎT HAMON SOUTENUE PAR GÉNÉRATION.S ET DÈME-DIEM 25,-,-,Greens/EFA*,"741,772"
France,FR,LES EUROPÉENS,-,-,Renew Europe*,"566,057"
France,FR,POUR L'EUROPE DES GENS CONTRE L'EUROPE DE L'ARGENT,-,-,GUE/NGL*,"564,949"
France,FR,EUROPE ÉCOLOGIE,-,-,Greens/EFA*,"490,074"
France,FR,URGENCE ÉCOLOGIE,-,-,Greens/EFA*,"412,136"
France,FR,ENSEMBLE POUR LE FREXIT,-,-,Unknown,"265,469"
France,FR,"LUTTE OUVRIÈRE - CONTRE LE GRAND CAPITAL, LE CAMP DES TRAVAILLEURS",-,-,Far-Left*,"176,339"
France,FR,"ENSEMBLE PATRIOTES ET GILETS JAUNES : POUR LA FRANCE, SORTONS DE L'UNION EUROPÉENNE !",-,-,Right-Wing*,"147,140"
France,FR,"ALLIANCE JAUNE, LA RÉVOLTE PAR LE VOTE",-,-,Unknown,"121,209"
France,FR,"LES OUBLIÉS DE L'EUROPE - ARTISANS, COMMERÇANTS, PROFESSIONS LIBÉRALES ET INDÉPENDANTS - ACPLI",-,-,Unknown,"51,240"
France,FR,PARTI PIRATE,-,-,Greens/EFA*,"30,105"
