COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Germany,DE,REP,Right-Wing*,"109,757",-,-
Germany,DE,PBC,Right-Wing ?,"55,336",-,-
Germany,DE,PRO NRW,Far-Right ?,"52,649",-,-
Germany,DE,AUF,Unknown,"50,953",-,-
Germany,DE,CM,Right-Wing ?,"30,136",-,-
Germany,DE,BüSo,Unknown,"10,369",-,-
Germany,DE,CDU,EPP,"8,812,653",EPP,"8,438,975"
Germany,DE,GRÜNE,Greens/EFA,"3,139,274",Greens/EFA,"7,677,071"
Germany,DE,SPD,S&D,"8,003,628",S&D,"5,916,882"
Germany,DE,AfD,ECR,"2,070,014",ID,"4,104,453"
Germany,DE,CSU,EPP,"1,567,448",EPP,"2,355,067"
Germany,DE,DIE LINKE,GUE/NGL,"2,168,455",GUE/NGL,"2,056,049"
Germany,DE,FDP,ALDE,"986,841",Renew Europe,"2,028,594"
Germany,DE,Die PARTEI,NI - Left-Wing,"184,709",Greens/EFA & NI,"899,079"
Germany,DE,FREIE WÄHLER,ALDE,"428,800",Renew Europe,"806,703"
Germany,DE,Tierschutzpartei,GUE/NGL,"366,598",GUE/NGL,"542,226"
Germany,DE,ÖDP,Greens/EFA,"185,244",Greens/EFA,"369,869"
Germany,DE,FAMILIE,ECR,"202,803",ECR,"273,828"
Germany,DE,Volt,-,-,Greens/EFA,"249,098"
Germany,DE,PIRATEN,Greens/EFA,"425,044",Greens/EFA,"243,302"
Germany,DE,DiEM25,-,-,Left-Wing*,"130,229"
Germany,DE,NPD,NI - Far-Right,"301,139",NI - Far-Right,"101,011"
Germany,DE,TIERSCHUTZ hier!,-,-,Unknown,"99,780"
Germany,DE,PARTEI FÜR DIE TIERE,-,-,Unknown,"85,809"
Germany,DE,BP,Greens/EFA*,"62,438",Greens/EFA*,"81,880"
Germany,DE,Graue Panther,-,-,Unknown,"76,255"
Germany,DE,Die Grauen,-,-,Unknown,"71,295"
Germany,DE,Gesundheitsforschung,-,-,Unknown,"70,869"
Germany,DE,BIG,-,-,Unknown,"68,647"
Germany,DE,Tierschutzallianz,-,-,Unknown,"68,572"
Germany,DE,Bündnis C,-,-,Right ?,"66,327"
Germany,DE,Die Humanisten,-,-,Left ?,"62,604"
Germany,DE,Volksabstimmung,Unknown,"88,535",Unknown,"58,400"
Germany,DE,DIE FRAUEN,-,-,Left ?,"55,293"
Germany,DE,LKR,-,-,ECR*,"43,961"
Germany,DE,BGE,-,-,Left ?,"40,818"
Germany,DE,ÖkoLinX,-,-,Green ?,"35,796"
Germany,DE,MENSCHLICHE WELT,-,-,Unknown,"34,470"
Germany,DE,LIEBE,-,-,Unknown,"33,160"
Germany,DE,DIE VIOLETTEN,-,-,Unknown,"27,784"
Germany,DE,DIE DIREKTE!,-,-,Unknown,"25,449"
Germany,DE,DIE RECHTE,-,-,Far-Right*,"24,598"
Germany,DE,DKP,Far Left ?,"25,147",Far Left ?,"20,396"
Germany,DE,MLPD,Far Left ?,"18,198",Far Left ?,"18,342"
Germany,DE,NL,-,-,Greens/EFA ?,"15,909"
Germany,DE,III. Weg,-,-,Far-Right*,"12,756"
Germany,DE,PSG,Far Left ?,"8,924",Far Left ?,"5,283"
