COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Lithuania,LT,Homeland Union,EPP,199393,-,-
Lithuania,LT,Social Democratic Party of Lithuania,S&D,197477,-,-
Lithuania,LT,Liberal Movement,ALDE,189373,-,-
Lithuania,LT,Order and Justice,EFDD,163049,-,-
Lithuania,LT,Labour Party,ALDE,146607,-,-
Lithuania,LT,Electoral Action of Poles in Lithuania–Russian Alliance,ECR,92108,-,-
Lithuania,LT,Lithuanian Peasant and Greens Union,Greens/EFA,75643,-,-
Lithuania,LT,Lithuanian Green Party,Greens/EFA*,40696,-,-
Lithuania,LT,Lithuanian Nationalist Union,Right-Wing*,22858,-,-
Lithuania,LT,Liberal and Centre Union,ALDE*,16927,-,-
Lithuania,LT,Homeland Union (TS - LKD),-,-,EPP,"248,736"
Lithuania,LT,Social Democratic Party of Lithuania (LSDP),-,-,S&D,"200,105"
Lithuania,LT,Lithuanian Farmers and Greens Union (LVŽS),-,-,Greens/EFA,"158,190"
Lithuania,LT,Labour Party (DP),-,-,Renew Europe,"113,243"
Lithuania,LT,Liberal Movement (LRLS),-,-,Renew Europe,"83,083"
Lithuania,LT,"Public election committee ""Aušra Maldeikienė's Train"" (VKM-AMT)",-,-,EPP,"82,005"
Lithuania,LT,"""Waldemar Tomaszewski Block"" - Coalition of Christian Families Alliance and Lithuanian Russian Union (LLRA-KŠS)",-,-,ECR,"69,347"
Lithuania,LT,Lithuanian Centre Party (LCP),-,-,RE*,"64,595"
Lithuania,LT,"Public election committee ""President Rolandas Paksas' Movement"" (VKM-PRPJ)",-,-,Right-Wing ?,"50,410"
Lithuania,LT,"Public election committee ""Vytautas Radžvilas: Recover the State!"" (VKM-VRSV)",-,-,Unknown,"42,228"
Lithuania,LT,Order and Justice (TT),-,-,Right-Wing ?,"34,442"
Lithuania,LT,Social Democratic Labour Party of Lithuania (LSDDP),-,-,S&D*,"29,706"
Lithuania,LT,Lithuanian Green Party (LŽP),-,-,Greens/EFA*,"28,562"
Lithuania,LT,Lithuanian Freedom Union (Liberals) (LLS),-,-,RE*,"24,143"
Lithuania,LT,"Public election committee ""Strong Lithuania in United Europe"" (SLVE)",-,-,Unknown,"16,850"
Lithuania,LT,"Public election committee ""Decisive Leap"" (LŠ)",-,-,Unknown,"14,309"
