COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Poland,PL,Direct Democracy,Unknown,"16,222",-,-
Poland,PL,Democratic Left Alliance – Labour Union,S&D,"667,319",-,-
Poland,PL,Congress of the New Right,NI,"505,586",-,-
Poland,PL,The Greens,Greens/EFA*,"22,481",-,-
Poland,PL,National Movement,Far-Right*,"98,626",-,-
Poland,PL,Civic Platform,EPP,"2,271,215",-,-
Poland,PL,Polish People's Party,EPP,"480,846",-,-
Poland,PL,Law and Justice,ECR,"2,246,870",-,-
Poland,PL,United Poland,ECR*,"281,079",-,-
Poland,PL,Europa Plus—Your Movement,Center-Left*,"252,779",-,-
Poland,PL,Poland Together,ECR*,"223,733",-,-
Poland,PL,Self-Defence of the Republic of Poland,Unknown,"2,729",-,-
Poland,PL,Law and Justice,-,-,ECR,"6,192,780"
Poland,PL,European Coalition,-,-,EPP & S&D,"5,249,935"
Poland,PL,Spring,-,-,S&D,"826,975"
Poland,PL,Confederation,-,-,Right-Wing*,"621,188"
Poland,PL,Kukiz'15,-,-,Center-Right*,"503,564"
Poland,PL,Left Together,-,-,Left-Wing*,"168,745"
Poland,PL,Poland Fair Play,-,-,Center-Right*,"74,013"
Poland,PL,PolEXIT-Coalition,-,-,Right-Wing*,"7,900"
Poland,PL,Unity of Nation,-,-,Unknown,"2,211"
