COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Portugal,PT,Socialist Party (PS),S&D,"1,034,249",-,-
Portugal,PT,Portugal Alliance (AP) ,EPP,"910,647",-,-
Portugal,PT,Unitary Democratic Coalition (CDU) ,GUE/NGL,"416,925",-,-
Portugal,PT,Earth Party (MPT),ALDE,"234,788",-,-
Portugal,PT,Left Bloc (B.E.),GUE/NGL,"149,764",-,-
Portugal,PT,LIVRE (L),Greens/EFA*,"71,495",-,-
Portugal,PT,Party for Animals and Nature (PAN),Greens/EFA*,"56,431",-,-
Portugal,PT,Workers' Communist Party (PCTP/MRPP),GUE/NGL*,"54,708",-,-
Portugal,PT,New Democracy Party (PND),Unknown,"23,082",-,-
Portugal,PT,Portuguese Labour Party (PTP),Center-Left ?,"22,542",-,-
Portugal,PT,People's Monarchist Party (PPM),Right-Wing ?,"17,785",-,-
Portugal,PT,National Renovator Party (P.N.R.),Far-Right ?,"14,887",-,-
Portugal,PT,Socialist Alternative Movement (MAS),Left-Wing ?,"12,497",-,-
Portugal,PT,Portugal Pro-Life (PPV),Right-Wing ?,"12,008",-,-
Portugal,PT,Democratic Party of the Atlantic (PDA),Unknown,"5,298",-,-
Portugal,PT,Workers Party of Socialist Unity (POUS),Far-Left ?,"3,666",-,-
Portugal,PT,PS ,-,-,S&D,1104694
Portugal,PT,PPD/PSD ,-,-,EPP,725399
Portugal,PT,B.E. ,-,-,GUE/NGL,325093
Portugal,PT,PCP-PEV,-,-,GUE/NGL,228045
Portugal,PT,CDS-PP ,-,-,EPP,204792
Portugal,PT,PAN ,-,-,Greens/EFA,168015
Portugal,PT,A ,-,-,RE*,61652
Portugal,PT,L ,-,-,Greens/EFA*,60446
Portugal,PT,PPM. PPV/CDC ,-,-,Right-Wing*,49388
Portugal,PT,NC ,-,-,RE*,34634
Portugal,PT,IL ,-,-,RE*,29114
Portugal,PT,PCTP/MRPP ,-,-,Far-Left ?,27211
Portugal,PT,PNR ,-,-,Far-Right ?,16135
Portugal,PT,PDR ,-,-,RE*,15751
Portugal,PT,PURP ,-,-,Unknown,13508
Portugal,PT,PTP ,-,-,Center-Left ?,8412
Portugal,PT,MAS ,-,-,Left-Wing ?,6612
