COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Romania,RO,National Liberal Party,-,-,EPP,2449068
Romania,RO,Social Democratic Party,-,-,S&D,2040765
Romania,RO,2020 USR-PLUS Alliance,-,-,Renew Europe,2028236
Romania,RO,PRO Romania,-,-,S&D,583916
Romania,RO,People's Movement Party,-,-,EPP,522104
Romania,RO,Democratic Alliance of Hungarians in Romania,-,-,EPP,476777
Romania,RO,Alliance of Liberals and Democrats,-,-,RE*,372760
Romania,RO,Independents,-,-,Unknown,348831
Romania,RO,National Union for the Progress of Romania,-,-,Center-Left*,54942
Romania,RO,Prodemo Party,-,-,Unknown,53351
Romania,RO,United Romania Party,-,-,Far-Right ?,51787
Romania,RO,Romanian Socialist Party,-,-,Left-Wing ?,40435
Romania,RO,Independent Social Democratic Party,-,-,Center-Left ?,26439
Romania,RO,National Unity Block,-,-,Unknown,20411
Romania,RO,ALIANŢA ELECTORALĂ PSD-UNPR-PC,S&D,2093234,-,-
Romania,RO,PARTIDUL NAŢIONAL LIBERAL,EPP,835531,-,-
Romania,RO,PARTIDUL DEMOCRAT LIBERAL,EPP,680853,-,-
Romania,RO,DIACONU MIRCEA,ALDE,379582,-,-
Romania,RO,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,EPP,350689,-,-
Romania,RO,PARTIDUL MIŞCAREA POPULARĂ,EPP,345973,-,-
Romania,RO,PARTIDUL POPORULUI - DAN DIACONESCU,Left-Wing*,204310,-,-
Romania,RO,PARTIDUL ROMÂNIA MARE,Far-Right ?,150484,-,-
Romania,RO,FORŢA CIVICĂ,EPP*,145181,-,-
Romania,RO,PARTIDUL ECOLOGIST ROMÂN,Center-Right,64232,-,-
Romania,RO,ALIANŢA NAŢIONALĂ A AGRICULTORILOR,Unknown,53273,-,-
Romania,RO,PARTIDUL NAŢIONAL ŢĂRĂNESC CREŞTIN DEMOCRAT,ECR*,49983,-,-
Romania,RO,CAPSALI PERICLE-IULIAN,Unknown,49612,-,-
Romania,RO,COSTEA PETER,Unknown,41274,-,-
Romania,RO,UNGUREANU GEORGIANA-CORINA,Unknown,27324,-,-
Romania,RO,PARTIDUL VERDE,Greens/EFA*,19148,-,-
Romania,RO,PARTIDUL NOUA REPUBLICĂ,Right-Wing ?,15419,-,-
Romania,RO,PARTIDUL DREPTĂŢII SOCIALE,Left-Wing ?,13537,-,-
Romania,RO,PUREA PAUL,Unknown,11319,-,-
Romania,RO,LIGA DĂNUŢ,Unknown,10650,-,-
Romania,RO,PARTIDUL ALTERNATIVA SOCIALISTĂ,Left-Wing*,9803,-,-
Romania,RO,DĂEANU VALENTIN-EUGEN,Unknown,8747,-,-
Romania,RO,FILIP CONSTANTIN-TITIAN,Unknown,6458,-,-
