COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Slovakia,SK,Direction – Social Democracy,S&D,"135,089",-,-
Slovakia,SK,Christian Democratic Movement,EPP,"74,108",-,-
Slovakia,SK,Slovak Democratic and Christian Union – Democratic Party,EPP,"43,467",-,-
Slovakia,SK,Ordinary People and Independent Personalities,ECR,"41,829",-,-
Slovakia,SK,NOVA–Conservative Democrats–OKS,ECR,"38,316",-,-
Slovakia,SK,Freedom and Solidarity,ALDE,"37,376",-,-
Slovakia,SK,Party of the Hungarian Community,EPP,"36,629",-,-
Slovakia,SK,Most–Híd,EPP,"32,708",-,-
Slovakia,SK,Strana TIP - Tvoríme Inú Politiku,Unknown,"20,730",-,-
Slovakia,SK,Slovak National Party,Right-Wing*,"20,244",-,-
Slovakia,SK,People's Party Our Slovakia,Far-Right ?,"9,749",-,-
Slovakia,SK,Law and Justice,RIght-Wing ?,"9,322",-,-
Slovakia,SK,Communist Party of Slovakia,Far-Left ?,"8,510",-,-
Slovakia,SK,Party of Democratic Slovakia,Unknown,"8,378",-,-
Slovakia,SK,Nation and Justice – Our Party,Right Wing ?,"7,763",-,-
Slovakia,SK,Magnificat Slovakia,Unknown,"6,646",-,-
Slovakia,SK,European Democratic Party,Unknown,"3,739",-,-
Slovakia,SK,Christian Slovak National Party,Right ?,"3,631",-,-
Slovakia,SK,Party of Modern Slovakia,Unknown,"2,851",-,-
Slovakia,SK,Dawn,Far-Left*,"2,773",-,-
Slovakia,SK,7 Statočných Regionálna Strana Slovenska,Unknown,"2,696",-,-
Slovakia,SK,Green Party,Green ?,"2,623",-,-
Slovakia,SK,Slovak People's Party,Right-Wing ?,"2,590",-,-
Slovakia,SK,Direct Democracy–Christian People's Party,Unknown,"2,405",-,-
Slovakia,SK,VZDOR,Far-Left*,"1,769",-,-
Slovakia,SK,Civic Left Party,Unknown,"1,311",-,-
Slovakia,SK,Democratic Civil Party,Unknown,"1,273",-,-
Slovakia,SK,Hungarian Christian Democratic Alliance,Unknown,"1,170",-,-
Slovakia,SK,New Parliament,Unknown,900,-,-
Slovakia,SK,Progressive Slovakia–SPOLU,-,-,EPP & Renew Europe,"198,255"
Slovakia,SK,Direction – Social Democracy,-,-,S&D,"154,996"
Slovakia,SK,People's Party Our Slovakia,-,-,NI,"118,995"
Slovakia,SK,Christian Democratic Movement,-,-,EPP  ,"95,588"
Slovakia,SK,Freedom and Solidarity,-,-,ECR,"94,839"
Slovakia,SK,Ordinary People and Independent Personalities,-,-,EPP,"51,834"
Slovakia,SK,Party of the Hungarian Community,-,-,EPP*,"48,929"
Slovakia,SK,Slovak National Party,-,-,Right-Wing*,"40,330"
Slovakia,SK,Christian Union,-,-,Right-Wing*,"37,974"
Slovakia,SK,We Are Family,-,-,Right-Wing*,"31,840"
Slovakia,SK,Most–Híd,-,-,Center-Right*,"25,562"
Slovakia,SK,Christian Democracy – Life and Prosperity,-,-,Right-Wing*,"20,374"
Slovakia,SK,CORRECTION - Andrej Hryc,-,-,Unknown,"8,460"
Slovakia,SK,Slovak Green Party,-,-,Green ?,"7,845"
Slovakia,SK,National Coalition,-,-,Unknown,"7,145"
Slovakia,SK,Communist Party of Slovakia–VZDOR,-,-,Far-Left ?,"6,199"
Slovakia,SK,Good Home,-,-,Unknown,"6,124"
Slovakia,SK,Democratic Party,-,-,Unknown,"5,092"
Slovakia,SK,Transportation,-,-,Unknown,"3,998"
Slovakia,SK,Mayors and Independent Candidates,-,-,Unknown,"2,976"
Slovakia,SK,Slovak People's Party Andrej Hlinka,-,-,Unknown,"2,953"
Slovakia,SK,Labour Party,-,-,Center-Left ?,"2,657"
Slovakia,SK,Hungarian Christian Democratic Alliance,-,-,Center-Right ?,"2,270"
Slovakia,SK,Direct Democracy,-,-,Unknown,"2,222"
Slovakia,SK,Voice of the People,-,-,Unknown,"2,101"
Slovakia,SK,Independence and Unity,-,-,Unknown,"2,016"
Slovakia,SK,European Democratic Party,-,-,Unknown,"1,452"
Slovakia,SK,Tolerance and Coexistence Party,-,-,Left ?,918
Slovakia,SK,Slovak National Unity – Patriotic Party,-,-,Right-Wing ?,621
Slovakia,SK,Slovak Conservative Party,-,-,Right ?,603
Slovakia,SK,Party of the Roma Coalition,-,-,Unknown,512
