COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Spain,ES,La Izquierda Plural (1),GUE/NGL & Greens/EFA,"1,575,308",-,-
Spain,ES,Podemos (2),Gue/NGL  ,"1,253,837",-,-
Spain,ES,"Unión, Progreso y Democracia",ALDE,"1,022,232",-,-
Spain,ES,Coalición por Europa (3),ALDE & EPP,"851,971",-,-
Spain,ES,L'Esquerra pel Dret a Decidir (ERC) (4),Greens/EFA,"630,072",-,-
Spain,ES,Los Pueblos Deciden (5),GUE/NGL,"326,464",-,-
Spain,ES,Primavera Europea (6),Greens/EFA,"302,266",-,-
Spain,ES,Movimiento RED (Renovación Dem.),Unknown,"105,666",-,-
Spain,ES,"Partido X (Red C. Partido X, el partido del futuro)",Unknown,"100,561",-,-
Spain,ES,Partido Andalucista,Greens/EFA ?,"49,523",-,-
Spain,ES,Piratas (Confederación Pirata),Greens/EFA ?,"38,690",-,-
Spain,ES,A.E. Discapacitados y Enfermedades Raras,EFA ?,"32,833",-,-
Spain,ES,Agrup.Electoral Recortes Cero (7),Left-Wing*,"30,827",-,-
Spain,ES,Falange Española de las JONS,Far-Right ?,"21,687",-,-
Spain,ES,Ciudadanos Libres Unidos,Unknown,"18,287",-,-
Spain,ES,Impulso Social (8),Unknown,"17,879",-,-
Spain,ES,La España en Marcha,Unknown,"17,035",-,-
Spain,ES,Democracia Nacional,Far-Right*,"13,079",-,-
Spain,ES,Proyecto Europa (9),Unknown,"11,502",-,-
Spain,ES,Land Party (PT),Unknown,"9,940",-,-
Spain,ES,Individual Freedom Party (P–LIB),Right ?,"9,670",-,-
Spain,ES,Republican Social Movement (MSR),Far-Right ?,"8,909",-,-
Spain,ES,United Extremadura (EU),EFA ?,"8,821",-,-
Spain,ES,Republican Alternative (ALTER),Left-Wing ?,"8,593",-,-
Spain,ES,"For the Republic, for the Rupture with the European Union (RRUE)",Unknown,"8,309",-,-
Spain,ES,Internationalist Solidarity and Self-Management (SAIn),Left-Wing ?,"6,929",-,-
Spain,ES,Regionalist Party of the Leonese Country (PREPAL),EFA ?,"6,759",-,-
Spain,ES,Extremadurans for Europe (IPEx–PREx–CREx),EFA ?,"5,967",-,-
Spain,ES,Red Current Movement (MCR),Left-Wing ?,"4,980",-,-
Spain,ES,PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,S&D,"3,614,232",S&D,"7,369,789"
Spain,ES,PP - PARTIDO POPULAR,EPP,"4,098,339",EPP,"4,519,205"
Spain,ES,Cs - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,ALDE,"497,146",Renew Europe,"2,731,825"
Spain,ES,PODEMOS-IU - UNIDAS PODEMOS CAMBIAR EUROPA,-,-,GUE/NGL & Greens/EFA,"2,258,857"
Spain,ES,VOX - VOX,Right-Wing*,"246,833",ECR,"1,393,684"
Spain,ES,AHORA REPÚBLICAS - AHORA REPÚBLICAS,-,-,GUE/NGL & Greens/EFA & NI,"1,252,139"
Spain,ES,JUNTS - LLIURES PER EUROPA,-,-,NI - Regionalist,"1,018,435"
Spain,ES,CEUS - COALICIÓN POR UNA EUROPA SOLIDARIA,-,-,Renew Europe,"633,090"
Spain,ES,CPE - COMPROMÍS PER EUROPA /COMPROMISO POR EUROPA,-,-,Greens/EFA*,"296,491"
Spain,ES,PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,Greens/EFA ?,"177,499",Greens/EFA ?,"295,546"
Spain,ES,CV-EC - COALICIÓN VERDE-EUROPA CIUDADANA,-,-,Greens/EFA ?,"65,504"
Spain,ES,RECORTES CERO-LV-GVE - RECORTES CERO-LOS VERDES-GRUPO VERDE EUROPEO,-,-,Greens/EFA ?,"50,002"
Spain,ES,VOLT - VOLT EUROPA,-,-,Greens/EFA*,"32,432"
Spain,ES,I.Fem - INICIATIVA FEMINISTA,Left ?,"23,140",Left ?,"29,276"
Spain,ES,PCPE-PCPC-PCPA - PCPE-PCPC-PCPA,Far-Left ?,"29,324",Far-Left ?,"28,508"
Spain,ES,PACT - ACTÚA,-,-,Left-Wing*,"25,528"
Spain,ES,AxSÍ - ANDALUCÍA POR SÍ,-,-,Greens/EFA*,"23,995"
Spain,ES,PUM+J - POR UN MUNDO MÁS JUSTO,-,-,Greens/EFA*,"21,584"
Spain,ES,PCTE - PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA,-,-,Far-Left*,"19,080"
Spain,ES,pirates.cat/ep - PIRATES DE CATALUNYA - EUROPEAN PIRATES,-,-,Greens/EFA*,"16,755"
Spain,ES,CXE - CENTRISTAS POR EUROPA,-,-,Center ?,"15,615"
Spain,ES,FAC - FORO DE CIUDADANOS,EFA ?,"32,962",EFA ?,"14,175"
Spain,ES,IZQP - IZQUIERDA EN POSITIVO,-,-,Left-Wing ?,"12,939"
Spain,ES,CONTIGO - CONTIGO SOMOS DEMOCRACIA,-,-,Unknown,"12,430"
Spain,ES,CEX-CREX-PREX - EXTREMEÑOS PREX CREX,-,-,EFA ?,"11,894"
Spain,ES,"ADÑ - FE DE LAS JONS, ALTERNATIVA ESPAÑOLA,LA FALANGE, DEMOCRACIA NACIONAL",-,-,Far-Right*,"11,699"
Spain,ES,ALTER - ALTERNATIVA REPUBLICANA,-,-,Left-Wing ?,"11,076"
Spain,ES,IGRE - IGUALDAD REAL,-,-,Unknown,"9,076"
Spain,ES,MCR - MOVIMIENTO CORRIENTE ROJA,-,-,Far-Left ?,"8,402"
Spain,ES,PH - PARTIDO HUMANISTA,Left ?,"14,896",Left ?,"7,947"
Spain,ES,MIEL - MOVIMIENTO INDEPENDIENTE EURO LATINO,-,-,Unknown,"6,809"
Spain,ES,SAIn - SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,-,-,Far-Left ?,"5,543"
