COUNTRY:,CODE:,Party,2014 Parliamentary Group,2014,2019 Parliamentary Group,2019
Sweden,SE,Swedish Social Democratic Party,-,-,S&D,"974,589"
Sweden,SE,Moderate Party,-,-,EPP,"698,770"
Sweden,SE,Sweden Democrats,-,-,ECR,"636,877"
Sweden,SE,Green Party,-,-,Greens/EFA,"478,258"
Sweden,SE,Centre Party,-,-,Renew Europe,"447,641"
Sweden,SE,Christian Democrats,-,-,EPP,"357,856"
Sweden,SE,Left Party,-,-,GUE/NGL,"282,300"
Sweden,SE,Liberals,-,-,Renew Europe,"171,419"
Sweden,SE,Feminist Initiative,-,-,S&D*,"32,143"
Sweden,SE,Pirate Party,-,-,Greens/EFA ?,"26,526"
Sweden,SE,Alternative for Sweden,-,-,Far-Right ?,"19,178"
Sweden,SE,Citizens' Coalition,-,-,Right-Wing*,"6,363"
Sweden,SE,Turning Point Party,-,-,Green ?,"5,171"
Sweden,SE,Animals' Party,-,-,Left ?,"4,105"
Sweden,SE,Independent Rural Party,-,-,Unknown,"2,059"
Sweden,SE,Christian Values Party,-,-,Right-Wing ?,"1,596"
Sweden,SE,Direct Democrats,-,-,Unknown,"1,276"
Sweden,SE,Communist Party,-,-,Far-Left ?,974
Sweden,SE,We Social Conservatives,-,-,Right ?,715
Sweden,SE,Classical Liberal Party,-,-,Right-Wing*,702
Sweden,SE,Basic Income Party,-,-,Unknown,213
Sweden,SE,Scania Party,-,-,Far-Right*,117
Sweden,SE,Freedom and Justice Party,-,-,Right-Wing ?,103
Sweden,SE,Security Party,-,-,Right-Wing ?,53
Sweden,SE,New Reform,-,-,Unknown,50
Sweden,SE,Common Sense in Sweden,-,-,Unknown,33
Sweden,SE,European Workers Party,-,-,Unknown,29
Sweden,SE,Solens Frihetsparti,-,-,Unknown,19
Sweden,SE,BRP,-,-,Unknown,8
Sweden,SE,The New Party,-,-,Unknown,7
Sweden,SE,Electoral Cooperation Party,-,-,Unknown,3
Sweden,SE,Kustkult,-,-,Unknown,2
Sweden,SE,Swedish Social Democratic Party,S&D,"899,074",-,-
Sweden,SE,Green Party,Greens/EFA,"572,591",-,-
Sweden,SE,Moderate Party,EPP,"507,488",-,-
Sweden,SE,Liberals,ALDE,"368,514",-,-
Sweden,SE,Sweden Democrats,EFDD,"359,248",-,-
Sweden,SE,Centre Party,ALDE,"241,101",-,-
Sweden,SE,Left Party,GUE/NGL,"234,272",-,-
Sweden,SE,Christian Democrats,EPP,"220,574",-,-
Sweden,SE,Feminist Initiative,S&D,"204,005",-,-
Sweden,SE,Pirate Party,Greens/EFA ?,"82,763",-,-
Sweden,SE,June List,ID ?,"11,629",-,-
Sweden,SE,Animals' Party,Left ?,"8,773",-,-
Sweden,SE,Classical Liberal Party,Right-Wing*,492,-,-
Sweden,SE,European Workers Party,Unknown,170,-,-
Sweden,SE,Swedish Multi-Democrats,Unknown,133,-,-
Sweden,SE,Freedom and Justice Party,Unknown,106,-,-
Sweden,SE,Socialist Welfare Party,Left-Wing ?,86,-,-
Sweden,SE,True Democracy,Unknown,72,-,-
Sweden,SE,Swedish National Democratic Party,Unknown,49,-,-
Sweden,SE,666 for an EU Superstate,Unknown,11,-,-
Sweden,SE,Republican Right,Right-Wing ?,9,-,-
